# MISSION PROFILE DATA
# Timestamp: 2026-06-25 16:31:55
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Deep Tolerance: 0.00 m
# Shallow Tolerance: -- m
# Hold Duration: 30 s
# PID: P=110.00, I=0.00, D=1300.00
# Neutral ADC: 1832
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,3937,1832,2
0.00,-0.000,101.32,3932,1562,2
0.07,0.000,101.33,3883,933,2
0.17,0.000,101.33,3840,1557,2
0.27,-0.000,101.32,3792,1557,2
0.35,0.001,101.33,3736,1557,2
0.52,0.001,101.33,3680,1570,2
0.58,-0.000,101.32,3623,1557,2
0.72,0.000,101.33,3576,1557,2
0.76,0.000,101.33,3527,1544,2
0.86,0.001,101.33,3476,1557,2
0.97,-0.001,101.32,3421,1570,2
1.07,0.000,101.33,3370,1557,2
1.17,-0.000,101.32,3316,1531,2
1.25,-0.001,101.32,3262,1570,2
1.36,0.000,101.33,3207,1544,2
1.55,0.000,101.33,3150,1570,2
1.62,0.000,101.33,3095,1557,2
1.77,-0.000,101.32,3040,1557,2
1.77,-0.000,101.32,2986,1557,2
1.87,-0.001,101.32,2937,1557,2
1.95,0.000,101.33,2891,1557,2
2.06,0.000,101.33,2843,1557,2
2.16,0.001,101.33,2797,1557,2
2.26,0.001,101.33,2749,1570,2
2.42,-0.000,101.32,2695,1557,2
2.63,-0.000,101.32,2642,1557,2
2.63,-0.000,101.32,2588,1544,2
2.74,-0.000,101.32,2541,1557,2
2.80,0.000,101.33,2490,1557,2
2.94,0.000,101.33,2439,1557,2
2.96,-0.000,101.32,2382,1557,2
3.07,-0.000,101.32,2332,1557,2
3.17,0.000,101.33,2279,1557,2
3.27,0.000,101.33,2225,1557,2
3.36,0.000,101.33,2170,1557,2
3.52,0.000,101.33,2115,1557,2
3.57,0.001,101.33,2059,1557,2
3.69,-0.000,101.32,2003,1557,2
3.77,0.001,101.34,1951,1570,2
3.87,-0.000,101.32,1897,1544,2
3.97,0.000,101.33,1845,1570,2
4.06,0.000,101.33,1792,1544,2
4.16,0.001,101.33,1741,1557,2
4.26,0.000,101.33,1691,1570,2
4.37,0.001,101.34,1642,1544,2
4.54,0.002,101.34,1595,1557,2
4.68,0.003,101.35,1555,1570,2
4.68,0.003,101.36,1532,1570,2
4.76,0.003,101.36,1518,1557,2
4.87,0.005,101.37,1512,1570,2
4.97,0.006,101.38,1511,1557,2
5.07,0.007,101.39,1537,1584,2
5.16,0.007,101.40,1547,1571,2
5.26,0.010,101.42,1567,1571,2
5.36,0.012,101.45,1578,1597,2
5.54,0.016,101.49,1579,1584,2
5.60,0.018,101.50,1578,1558,2
5.75,0.022,101.54,1578,1611,2
5.77,0.021,101.53,1579,1585,2
5.86,0.025,101.57,1578,1611,2
5.96,0.027,101.60,1579,1599,2
6.06,0.029,101.62,1579,1586,2
6.17,0.033,101.66,1579,1586,2
6.27,0.037,101.70,1578,1560,2
6.37,0.041,101.74,1579,1613,2
6.53,0.047,101.80,1579,1613,2
6.58,0.048,101.81,1579,1614,2
6.71,0.053,101.86,1584,1640,2
6.77,0.056,101.89,1612,1575,2
6.86,0.060,101.93,1625,1628,2
6.96,0.064,101.97,1628,1655,2
7.06,0.068,102.01,1628,1616,2
7.17,0.073,102.06,1627,1616,2
7.27,0.077,102.11,1628,1564,2
7.37,0.082,102.15,1614,1630,2
7.54,0.091,102.24,1597,1617,2
7.58,0.092,102.26,1592,1631,2
7.71,0.099,102.32,1594,1684,2
7.77,0.102,102.36,1610,1580,2
7.87,0.107,102.40,1629,1659,2
7.97,0.113,102.46,1635,1607,2
8.08,0.119,102.52,1636,1634,2
8.16,0.123,102.56,1636,1647,2
8.26,0.129,102.62,1648,1701,2
8.37,0.134,102.68,1670,1649,2
8.52,0.144,102.77,1683,1637,2
8.69,0.153,102.87,1685,1572,2
8.69,0.152,102.86,1674,1703,2
8.78,0.158,102.92,1676,1573,2
8.86,0.162,102.96,1662,1678,2
8.96,0.169,103.03,1645,1705,2
9.06,0.176,103.10,1648,1667,2
9.17,0.182,103.16,1662,1667,2
9.27,0.188,103.23,1667,1576,2
9.37,0.194,103.29,1649,1655,2
9.53,0.204,103.39,1630,1656,2
9.70,0.216,103.51,1622,1656,2
9.70,0.216,103.51,1624,1709,2
9.76,0.221,103.55,1626,1579,2
9.87,0.227,103.61,1625,1802,2
9.97,0.235,103.69,1636,1581,2
10.07,0.241,103.76,1639,1660,2
10.18,0.248,103.83,1642,1687,2
10.26,0.254,103.89,1652,1662,2
10.36,0.262,103.97,1664,1754,2
10.53,0.272,104.07,1689,1690,2
10.68,0.275,104.10,1702,1586,2
10.68,0.285,104.20,1699,1756,2
10.76,0.290,104.25,1692,1587,2
10.87,0.297,104.32,1695,1784,2
10.97,0.304,104.40,1691,1589,2
11.07,0.312,104.47,1683,1681,2
11.18,0.320,104.55,1664,1681,2
11.26,0.325,104.60,1656,1695,2
11.36,0.333,104.69,1652,1762,2
11.52,0.344,104.80,1661,1698,2
11.69,0.358,104.93,1672,1594,2
11.69,0.357,104.93,1671,1738,2
11.77,0.364,105.00,1675,1595,2
11.88,0.372,105.08,1669,1765,2
11.96,0.379,105.15,1682,1688,2
12.06,0.386,105.22,1712,1794,2
12.17,0.393,105.29,1726,1690,2
12.27,0.402,105.38,1714,1691,2
12.37,0.409,105.45,1688,1600,2
12.53,0.421,105.57,1665,1718,2
12.56,0.424,105.60,1671,1693,2
12.68,0.434,105.70,1674,1799,2
12.76,0.440,105.76,1695,1604,2
12.87,0.448,105.84,1691,1813,2
12.97,0.456,105.92,1697,1605,2
13.07,0.464,106.01,1685,1710,2
