# MISSION PROFILE DATA
# Timestamp: 2026-05-02 17:03:49
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=500.00, I=25.00, D=200.00
# Neutral ADC: 900
# Bounds: 0 to 4095
# Depth Offset: -0.127 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.060,1606,900
1.00,0.150,1158,100
2.00,0.220,635,100
3.00,0.390,268,100
4.00,0.520,123,100
5.01,0.650,123,100
6.01,0.780,122,100
7.02,0.910,123,135
8.03,1.060,172,209
9.03,1.210,265,285
10.03,1.370,346,369
11.03,1.540,410,453
12.04,1.710,504,541
13.04,1.890,601,631
14.04,2.070,686,720
15.05,2.260,757,805
16.05,2.450,870,900
17.05,2.650,951,997
18.06,2.840,1052,1104
19.06,3.050,1145,1216
20.06,3.250,1245,1335
21.06,3.450,1353,1458
22.06,3.660,1463,1585
23.06,3.630,1529,1556
24.06,3.630,1552,1589
25.07,3.650,1594,1635
26.07,3.660,1625,1661
27.07,3.670,1652,1695
28.08,3.670,1682,1725
29.08,3.670,1723,1753
30.08,3.670,1751,1782
31.09,3.670,1782,1812
32.09,3.670,1811,1842
33.09,3.670,1844,1870
34.09,3.670,1870,1900
35.09,3.670,1902,1929
36.10,3.670,1904,1958
37.10,3.670,1931,1987
38.10,3.670,1953,2016
39.10,3.670,2007,2046
40.10,3.670,2028,2075
41.11,3.670,2064,2105
42.11,3.670,2104,2134
43.11,3.670,2121,2163
44.11,3.670,2168,2192
45.11,3.670,2172,2222
46.11,3.670,2174,2251
47.11,3.670,2175,2280
48.12,3.670,2231,4095
49.12,3.670,2573,3986
50.12,3.670,2931,4020
51.12,3.670,3299,4095
52.13,3.670,3659,4095
53.15,3.660,3928,4095
54.15,3.640,3982,4095
55.16,3.600,3982,4095
56.17,3.550,3982,4095
57.18,3.490,3982,4095
58.19,3.420,3904,4095
59.20,3.340,3903,4095
60.21,3.260,3980,4095
61.22,3.170,3979,4095
62.23,3.080,3980,4095
63.24,2.980,3930,4095
64.25,2.870,3929,4095
65.26,2.770,3930,4095
66.27,2.660,3930,4095
67.28,2.550,3930,4095
68.28,2.430,3929,4095
69.29,2.320,3929,4095
70.31,2.200,3930,4095
71.31,2.080,3929,4095
72.32,1.950,3930,4095
73.33,1.830,3930,4095
74.34,1.700,3929,4095
75.35,1.570,3929,4095
76.36,1.430,3930,4095
77.38,1.290,3930,4095
78.38,1.150,3930,4095
79.39,1.000,3930,4095
80.41,0.850,3930,4095
81.41,0.690,3930,4095
82.42,0.520,3929,4095
83.43,0.350,3930,4095
84.44,0.280,3930,4095
85.45,0.250,3930,4095
86.46,0.210,3930,4095
87.47,0.050,3930,4095
