# MISSION PROFILE DATA
# Timestamp: 2026-06-19 14:56:11
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.15 m
# Hold Duration: 30 s
# PID: P=100.00, I=0.00, D=0.00
# Neutral ADC: 1600
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.004,101.36,482,207,2
0.04,0.003,101.36,372,200,2
0.14,0.007,101.39,273,200,2
0.24,0.010,101.43,280,200,2
0.45,0.019,101.52,264,200,2
0.60,0.021,101.54,177,200,2
0.60,0.028,101.61,296,200,2
0.65,0.031,101.64,228,200,2
0.75,0.039,101.72,293,200,2
0.85,0.047,101.80,201,200,2
0.94,0.055,101.88,200,200,2
1.04,0.064,101.97,194,200,2
1.14,0.075,102.08,194,200,2
1.28,0.090,102.24,193,200,2
1.34,0.096,102.30,191,200,2
1.46,0.112,102.46,190,200,2
1.54,0.122,102.56,191,200,2
1.64,0.136,102.70,190,200,2
1.75,0.151,102.85,189,200,2
1.85,0.166,103.00,189,200,2
1.95,0.183,103.17,188,200,2
2.05,0.199,103.33,188,200,2
2.14,0.212,103.46,187,200,2
2.32,0.243,103.78,187,200,2
2.37,0.253,103.88,185,200,2
2.51,0.279,104.14,186,200,2
2.55,0.286,104.21,184,200,2
2.65,0.305,104.41,180,200,2
2.74,0.322,104.57,178,200,2
2.84,0.342,104.77,177,200,2
2.94,0.363,104.99,175,200,2
3.04,0.384,105.20,175,200,2
3.15,0.405,105.41,174,200,2
3.32,0.443,105.79,174,200,2
3.38,0.455,105.92,174,200,2
3.52,0.487,106.24,174,200,2
3.54,0.490,106.27,174,200,2
3.64,0.514,106.52,173,200,2
3.75,0.538,106.75,173,200,2
3.85,0.562,107.00,172,200,2
3.95,0.586,107.23,172,200,2
4.06,0.610,107.48,172,200,2
4.14,0.629,107.68,172,200,2
4.31,0.672,108.10,171,200,2
4.37,0.684,108.23,171,200,2
4.50,0.719,108.58,171,200,2
4.54,0.727,108.66,170,200,2
4.65,0.754,108.93,170,200,2
4.75,0.779,109.19,170,200,2
4.85,0.805,109.45,170,200,2
4.96,0.832,109.72,169,200,2
5.04,0.852,109.93,169,200,2
5.14,0.879,110.19,169,200,2
5.31,0.921,110.62,169,200,2
5.36,0.934,110.75,169,200,2
5.50,0.971,111.12,168,200,2
5.54,0.982,111.23,169,200,2
5.65,1.009,111.51,169,200,2
5.75,1.035,111.77,169,200,2
5.85,1.063,112.05,168,200,2
5.95,1.090,112.32,176,200,2
6.06,1.117,112.60,176,200,2
6.14,1.139,112.82,176,200,2
6.29,1.176,113.20,175,200,2
6.47,1.226,113.69,175,200,2
6.47,1.227,113.71,174,200,2
6.55,1.248,113.91,174,200,2
6.65,1.276,114.20,173,200,2
6.76,1.304,114.48,173,200,2
6.86,1.331,114.76,173,200,2
6.94,1.354,114.98,173,200,2
7.04,1.381,115.27,173,200,2
7.15,1.408,115.54,173,200,2
7.25,1.436,115.81,174,200,2
7.35,1.464,116.09,173,200,2
7.46,1.492,116.38,174,200,2
7.56,1.520,116.66,182,200,2
7.64,1.543,116.89,182,200,2
7.75,1.571,117.18,182,200,2
7.85,1.599,117.46,182,200,2
8.03,1.646,117.94,180,200,2
8.19,1.690,118.38,183,200,2
8.19,1.690,118.38,184,200,2
8.25,1.708,118.56,185,200,2
8.35,1.736,118.85,185,200,2
8.46,1.765,119.13,185,200,2
8.56,1.792,119.41,186,200,2
8.64,1.815,119.64,185,200,2
8.74,1.843,119.92,185,200,2
8.85,1.872,120.21,185,200,2
8.95,1.899,120.49,185,200,2
9.06,1.928,120.78,185,200,2
9.24,1.977,121.27,185,200,2
9.26,1.983,121.33,185,200,2
9.36,2.012,121.62,185,200,2
9.44,2.034,121.85,185,200,2
9.54,2.062,122.14,185,200,2
9.65,2.090,122.42,185,200,2
9.75,2.118,122.70,185,200,2
9.85,2.147,122.99,185,200,2
10.03,2.191,123.44,186,200,2
10.17,2.233,123.86,185,200,2
10.17,2.234,123.87,185,200,2
10.25,2.256,124.09,185,200,2
10.36,2.285,124.38,185,200,2
10.46,2.313,124.66,185,200,2
10.54,2.336,124.90,186,200,2
