# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:13:36
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=700.00, I=100.00, D=500.00
# Neutral ADC: 1650
# Bounds: 0 to 4095
# Depth Offset: -0.034 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.200,1511,1650
1.00,0.220,1332,1250
2.01,0.270,1259,1250
3.02,0.310,1260,1250
4.03,0.350,1259,1250
5.04,0.380,1259,1250
6.04,0.420,1260,1250
7.05,0.460,1259,1250
8.06,0.500,1260,1250
9.07,0.550,1260,1250
10.08,0.600,1260,1250
11.09,0.660,1259,1250
12.10,0.720,1259,1250
13.11,0.790,1259,1250
14.12,0.860,1260,1250
15.13,0.940,1261,1250
16.13,1.030,1261,1250
17.14,1.130,1261,1250
18.15,1.230,1261,1250
19.16,1.350,1261,1250
20.17,1.470,1260,1250
21.17,1.600,1260,1250
22.18,1.740,1260,1250
23.19,1.890,1260,1305
24.19,2.050,1344,1403
25.19,2.230,1437,1490
26.20,2.410,1525,1605
27.20,2.590,1640,1741
28.20,2.790,1785,1898
29.20,2.980,1917,2069
30.20,3.170,2083,2267
31.20,3.360,2260,2472
32.20,3.490,2447,2400
33.21,3.510,2574,2677
34.21,3.510,2678,2785
35.21,3.510,2787,2887
36.21,3.530,2902,3003
37.22,3.540,3007,3114
38.22,3.550,3118,3219
39.22,3.540,3237,3314
40.22,3.530,3344,3413
41.22,3.520,3432,3493
42.23,3.490,3524,3571
43.23,3.450,3607,3633
44.23,3.390,3634,3680
45.23,3.330,3684,3711
46.23,3.250,3703,3729
47.24,3.160,3705,3729
48.24,3.050,3683,3716
49.25,2.940,3663,3681
50.25,2.830,3663,3635
51.26,2.710,3612,3571
52.26,2.580,3494,3499
53.26,2.450,3456,3412
54.27,2.330,3373,3310
55.27,2.200,3270,3202
56.27,2.080,3138,3084
57.27,1.970,2961,1250
58.28,1.860,2403,1250
59.29,1.780,1813,1250
60.30,1.730,1381,1250
61.31,1.730,1228,1250
62.32,1.780,1228,1250
63.33,1.860,1228,1252
64.33,1.980,1275,1352
65.33,2.140,1379,1443
66.33,2.320,1475,1551
67.33,2.520,1610,1696
68.34,2.740,1752,1869
69.34,2.970,1909,2063
70.34,3.200,2076,2293
71.34,3.440,2276,2544
72.35,3.540,2458,2596
73.35,3.560,2591,2725
74.35,3.560,2713,2826
75.35,3.560,2827,2928
76.35,3.560,2933,3034
77.35,3.560,3051,3141
78.35,3.560,3170,3249
79.35,3.560,3283,3355
80.35,3.560,3386,3461
81.35,3.560,3492,3565
82.36,3.560,3593,3665
83.36,3.550,3703,3761
84.36,3.530,3807,3848
85.36,3.500,3870,3923
86.36,3.460,3936,3985
87.37,3.410,3980,4036
88.37,3.340,3980,4073
89.37,3.270,3980,4095
90.38,3.180,3980,4095
91.39,3.090,3934,4094
92.39,2.990,3979,4077
93.40,2.880,3980,4039
94.40,2.770,3979,3992
95.40,2.650,3945,3927
96.41,2.530,3892,3843
97.41,2.400,3755,3750
98.41,2.270,3703,3644
99.41,2.140,3573,3524
100.42,2.020,3476,3399
101.42,1.900,2997,1250
102.43,1.800,2435,1250
103.44,1.730,1848,1250
104.45,1.700,1391,1250
105.46,1.720,1243,1250
106.47,1.800,1243,1250
107.47,1.910,1243,1311
108.48,2.070,1344,1412
109.48,2.260,1456,1526
110.48,2.470,1577,1665
111.48,2.700,1725,1857
112.49,2.950,1879,2063
113.49,3.210,2066,2304
114.49,3.470,2276,2578
115.49,3.560,2456,2618
116.50,3.560,2578,2727
117.50,3.560,2708,2831
118.50,3.560,2822,2937
119.50,3.560,2929,3039
120.50,3.560,3042,3148
121.50,3.560,3163,3254
122.50,3.560,3281,3362
123.51,3.560,3388,3465
124.51,3.560,3493,3570
125.51,3.560,3596,3677
126.51,3.560,3716,3783
127.52,3.560,3824,3887
128.51,3.550,3930,3980
129.52,3.530,3982,4068
130.52,3.500,3980,4095
131.53,3.470,3981,4095
132.54,3.430,3982,4095
133.55,3.380,3981,4095
134.56,3.330,3922,4095
135.57,3.270,3916,4095
136.58,3.200,3980,4095
137.59,3.130,3971,4095
138.60,3.060,3928,4095
139.61,2.980,3929,4095
140.61,2.900,3928,4095
141.62,2.820,3929,4095
142.63,2.730,3929,4095
143.64,2.630,3928,4095
144.65,2.530,3929,4095
145.66,2.430,3929,4095
146.67,2.330,3929,4095
147.67,2.220,3979,4004
148.68,2.110,3951,3890
149.68,2.000,3814,1250
150.69,1.880,3248,1250
151.70,1.780,2670,1250
152.71,1.710,2096,1250
153.72,1.690,1542,1250
154.73,1.710,1229,1250
155.74,1.790,1229,1250
156.75,1.920,1238,1316
157.75,2.090,1342,1430
158.75,2.300,1470,1560
159.75,2.530,1606,1729
160.76,2.790,1763,1935
161.76,3.060,1941,2182
162.76,3.340,2152,2446
163.76,3.550,2368,2529
164.76,3.560,2507,2655
165.76,3.560,2637,2770
166.76,3.560,2758,2874
167.76,3.560,2872,2980
168.77,3.560,2985,3086
169.77,3.560,3094,3192
170.78,3.560,3217,3301
171.78,3.560,3334,3403
172.78,3.560,3434,3510
173.78,3.560,3540,3613
174.78,3.560,3646,3722
175.78,3.560,3762,3826
176.79,3.560,3874,3934
177.79,3.560,3980,4037
178.79,3.560,3981,4095
179.80,3.550,3980,4095
180.81,3.550,3980,4095
181.82,3.550,3981,4095
182.83,3.560,3934,4095
183.84,3.560,3891,4095
184.85,3.560,3954,4095
185.86,3.560,3980,4095
186.87,3.560,3913,4095
187.88,3.560,3889,4095
188.88,3.560,3889,4095
189.89,3.560,3888,4095
190.90,3.560,3889,4095
191.91,3.560,3889,4095
192.91,3.560,3888,4095
193.92,3.560,3888,4095
194.93,3.560,3888,4095
195.94,3.560,3889,4095
196.94,3.560,3888,4095
197.95,3.560,3889,4095
198.96,3.560,3889,4095
199.97,3.560,3889,4095
200.98,3.490,3889,4095
201.99,3.010,3888,4095
202.99,1.950,3889,4095
204.00,1.100,3889,4095
205.01,0.340,3888,4095
