# MISSION PROFILE DATA
# Timestamp: 2026-06-25 01:07:19
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=31.46, I=1.40, D=100.00
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3912,2103,2
0.00,-0.000,101.32,3898,2034,2
0.08,0.000,101.33,3850,904,2
0.19,0.001,101.33,3792,1164,2
0.29,0.001,101.33,3740,1347,2
0.39,-0.000,101.32,3686,1474,2
0.58,-0.000,101.32,3632,1563,2
0.72,-0.000,101.32,3586,1625,2
0.72,-0.000,101.32,3542,1669,2
0.78,0.000,101.33,3492,1700,2
0.88,0.000,101.33,3441,1721,2
0.99,-0.000,101.32,3390,1736,2
1.09,0.000,101.33,3340,1747,2
1.19,0.000,101.33,3291,1754,2
1.30,0.001,101.33,3238,1759,2
1.40,0.000,101.33,3184,1763,2
1.58,-0.000,101.32,3132,1765,2
1.61,0.000,101.33,3078,1767,2
1.76,0.000,101.33,3028,1768,2
1.80,-0.000,101.32,2978,1769,2
1.88,0.000,101.33,2930,1770,2
1.98,0.000,101.33,2885,1770,2
2.09,0.000,101.33,2840,1770,2
2.19,-0.001,101.31,2798,1771,2
2.29,0.000,101.33,2752,1770,2
2.40,-0.000,101.32,2702,1771,2
2.77,-0.000,101.32,2650,1771,2
2.77,-0.000,101.32,2598,1771,2
2.77,0.000,101.33,2553,1771,2
2.79,0.000,101.33,2507,1771,2
2.89,0.000,101.33,2456,1771,2
2.99,-0.000,101.32,2407,1771,2
3.10,0.000,101.33,2349,1771,2
3.18,0.000,101.33,2305,1771,2
3.28,-0.001,101.32,2254,1771,2
3.39,0.000,101.33,2201,1771,2
3.59,-0.000,101.32,2149,1771,2
3.60,0.000,101.33,2097,1771,2
3.72,0.000,101.33,2045,1771,2
3.78,0.000,101.33,1992,1771,2
3.89,-0.000,101.32,1941,1771,2
3.99,0.000,101.33,1894,1771,2
4.09,0.000,101.33,1852,1771,2
4.19,-0.000,101.32,1811,1771,2
4.30,0.000,101.33,1779,1771,2
4.40,0.001,101.33,1760,1771,2
4.56,0.000,101.33,1759,1771,2
4.68,0.001,101.33,1758,1771,2
4.69,0.000,101.33,1759,1771,2
4.78,0.002,101.34,1759,1771,2
4.89,0.000,101.33,1759,1772,2
4.99,0.002,101.34,1757,1771,2
5.09,0.003,101.36,1758,1772,2
5.20,0.003,101.35,1759,1772,2
5.30,0.004,101.36,1759,1772,2
5.38,0.005,101.38,1758,1772,2
5.55,0.005,101.37,1758,1772,2
5.70,0.007,101.39,1759,1772,2
5.70,0.007,101.40,1759,1772,2
5.78,0.008,101.41,1758,1772,2
5.89,0.007,101.40,1759,1772,2
5.99,0.008,101.41,1759,1772,2
6.09,0.011,101.43,1759,1772,2
6.19,0.011,101.44,1759,1773,2
6.30,0.012,101.45,1758,1772,2
6.40,0.013,101.46,1759,1772,2
6.55,0.015,101.47,1759,1772,2
6.68,0.017,101.50,1758,1772,2
6.69,0.017,101.50,1759,1773,2
6.79,0.018,101.50,1759,1773,2
6.89,0.019,101.52,1759,1773,2
6.99,0.021,101.54,1759,1773,2
7.09,0.022,101.55,1759,1773,2
7.19,0.026,101.58,1759,1773,2
7.30,0.026,101.59,1759,1774,2
