# MISSION PROFILE DATA
# Timestamp: 2026-06-25 01:10:43
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=25.17, I=1.55, D=100.00
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,3916,1051,2
0.00,0.000,101.33,3904,1272,2
0.16,0.000,101.33,3866,1412,2
0.28,0.000,101.33,3810,1525,2
0.28,0.001,101.33,3755,1603,2
0.39,-0.000,101.32,3702,1658,2
0.49,0.000,101.33,3648,1697,2
0.59,-0.001,101.32,3598,1724,2
0.68,0.000,101.33,3556,1742,2
0.78,-0.000,101.32,3506,1756,2
0.88,0.001,101.33,3456,1765,2
1.03,0.000,101.33,3404,1772,2
1.09,-0.000,101.32,3355,1776,2
1.21,-0.001,101.32,3304,1779,2
1.29,-0.000,101.32,3252,1781,2
1.39,-0.000,101.32,3195,1783,2
1.50,0.001,101.33,3146,1784,2
1.58,0.000,101.33,3092,1785,2
1.68,0.000,101.33,3042,1785,2
1.79,0.001,101.33,2990,1786,2
1.89,-0.001,101.32,2942,1786,2
2.06,-0.000,101.32,2897,1786,2
2.20,0.001,101.33,2852,1786,2
2.20,0.001,101.34,2809,1787,2
2.28,0.000,101.33,2762,1787,2
2.39,0.000,101.33,2714,1786,2
2.49,-0.000,101.32,2664,1786,2
2.60,-0.000,101.32,2611,1786,2
2.68,-0.000,101.32,2564,1786,2
2.78,0.000,101.33,2517,1787,2
2.89,-0.000,101.32,2468,1787,2
3.06,-0.001,101.32,2417,1787,2
3.23,-0.001,101.32,2367,1786,2
3.23,0.000,101.33,2316,1786,2
3.29,0.000,101.33,2265,1787,2
3.40,0.000,101.33,2213,1787,2
3.48,0.001,101.33,2161,1787,2
3.58,0.000,101.33,2108,1787,2
3.69,-0.000,101.32,2055,1787,2
3.79,-0.000,101.32,2002,1787,2
3.89,-0.000,101.32,1952,1787,2
4.04,-0.000,101.32,1908,1787,2
4.21,-0.001,101.32,1865,1787,2
4.21,-0.000,101.32,1825,1786,2
4.29,-0.000,101.32,1794,1787,2
4.40,-0.000,101.32,1779,1787,2
4.48,-0.001,101.32,1779,1787,2
4.58,0.000,101.33,1780,1786,2
4.68,0.000,101.33,1780,1787,2
4.79,0.001,101.34,1779,1787,2
4.89,0.001,101.34,1780,1787,2
5.05,0.002,101.35,1779,1787,2
5.21,0.003,101.36,1779,1787,2
5.21,0.003,101.35,1779,1787,2
5.29,0.002,101.35,1779,1787,2
5.39,0.002,101.35,1780,1787,2
5.49,0.004,101.36,1779,1787,2
5.60,0.005,101.37,1780,1787,2
5.68,0.005,101.37,1779,1787,2
5.79,0.006,101.38,1779,1787,2
5.89,0.006,101.38,1779,1787,2
