# MISSION PROFILE DATA
# Timestamp: 2026-06-18 19:31:11
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.15 m
# Hold Duration: 30 s
# PID: P=28.00, I=0.05, D=12.50
# Neutral ADC: 1600
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.001,101.32,3920,1436,2
0.20,0.000,101.33,3896,1464,2
0.20,0.000,101.33,3847,1484,2
0.29,-0.001,101.32,3792,1497,2
0.39,-0.001,101.32,3739,1507,2
0.49,0.000,101.33,3685,1514,2
0.59,0.001,101.33,3633,1518,2
0.70,0.001,101.33,3584,1522,2
0.80,0.000,101.33,3539,1524,2
0.88,0.000,101.33,3491,1526,2
0.98,0.001,101.33,3439,1527,2
1.09,-0.000,101.32,3390,1528,2
1.19,0.000,101.33,3342,1528,2
1.29,-0.000,101.32,3290,1529,2
1.52,-0.000,101.32,3240,1529,2
1.52,0.001,101.33,3187,1529,2
1.63,-0.000,101.32,3135,1529,2
1.81,-0.000,101.32,3084,1529,2
1.81,-0.000,101.32,3030,1529,2
1.89,-0.001,101.32,2981,1529,2
2.00,0.000,101.33,2935,1529,2
2.10,0.000,101.33,2893,1529,2
2.18,-0.000,101.32,2849,1529,2
2.29,0.001,101.33,2805,1529,2
2.51,-0.000,101.32,2760,1530,2
2.51,0.001,101.33,2713,1530,2
2.61,0.000,101.33,2666,1530,2
2.80,-0.000,101.32,2614,1529,2
2.80,0.001,101.33,2567,1529,2
2.90,-0.001,101.32,2526,1530,2
3.00,-0.000,101.32,2478,1529,2
3.09,0.000,101.33,2430,1529,2
3.19,-0.001,101.32,2382,1529,2
3.29,0.000,101.33,2336,1529,2
3.55,0.000,101.33,2287,1530,2
3.55,-0.000,101.32,2238,1530,2
3.69,-0.000,101.32,2192,1530,2
3.74,0.001,101.33,2144,1530,2
3.89,0.000,101.33,2098,1530,2
3.89,0.001,101.33,2049,1530,2
4.00,-0.000,101.32,2001,1530,2
4.10,0.001,101.33,1956,1529,2
4.20,0.000,101.33,1907,1530,2
4.28,-0.000,101.32,1860,1529,2
4.52,-0.000,101.32,1811,1529,2
4.52,-0.001,101.32,1768,1529,2
4.62,0.000,101.33,1725,1529,2
4.80,-0.000,101.32,1680,1530,2
4.80,0.000,101.33,1635,1530,2
4.90,0.000,101.33,1598,1530,2
5.00,-0.001,101.32,1558,1530,2
5.09,-0.001,101.32,1533,1529,2
5.19,0.001,101.33,1528,1529,2
5.29,-0.000,101.32,1529,1530,2
5.52,0.001,101.34,1528,1530,2
5.52,0.000,101.33,1528,1530,2
5.62,0.001,101.34,1528,1530,2
5.85,0.002,101.35,1528,1530,2
5.85,0.002,101.35,1527,1530,2
5.89,0.002,101.34,1527,1530,2
6.00,0.002,101.35,1529,1530,2
6.10,0.003,101.36,1529,1530,2
6.20,0.003,101.35,1528,1530,2
6.31,0.003,101.36,1528,1530,2
6.52,0.005,101.37,1528,1530,2
6.53,0.005,101.38,1528,1530,2
6.64,0.006,101.39,1528,1530,2
6.81,0.006,101.39,1528,1530,2
6.81,0.007,101.39,1530,1530,2
6.90,0.008,101.41,1529,1530,2
7.00,0.009,101.42,1528,1530,2
7.10,0.010,101.43,1529,1530,2
7.20,0.010,101.43,1529,1530,2
7.31,0.012,101.44,1529,1530,2
7.39,0.012,101.45,1529,1530,2
7.49,0.013,101.45,1529,1530,2
7.59,0.015,101.48,1529,1530,2
7.70,0.016,101.49,1530,1530,2
7.80,0.018,101.51,1529,1530,2
7.90,0.019,101.52,1530,1530,2
8.01,0.020,101.52,1530,1530,2
8.25,0.024,101.56,1530,1530,2
8.25,0.023,101.55,1529,1530,2
8.34,0.024,101.57,1530,1530,2
8.51,0.027,101.59,1530,1530,2
8.51,0.026,101.59,1531,1530,2
8.59,0.027,101.60,1530,1530,2
8.70,0.029,101.62,1531,1530,2
8.80,0.032,101.64,1530,1530,2
8.90,0.033,101.66,1530,1531,2
9.00,0.036,101.68,1531,1531,2
9.23,0.039,101.71,1531,1531,2
9.23,0.038,101.71,1531,1531,2
9.36,0.041,101.73,1531,1531,2
9.49,0.043,101.76,1531,1531,2
9.49,0.043,101.75,1531,1531,2
9.59,0.044,101.77,1531,1531,2
9.70,0.048,101.81,1531,1531,2
9.80,0.049,101.82,1532,1531,2
9.90,0.051,101.84,1532,1531,2
10.01,0.054,101.87,1531,1531,2
10.09,0.055,101.88,1531,1531,2
10.24,0.058,101.91,1532,1531,2
10.31,0.060,101.93,1531,1531,2
10.51,0.064,101.97,1533,1531,2
10.52,0.065,101.98,1532,1531,2
10.60,0.066,101.99,1533,1532,2
10.70,0.067,102.00,1532,1532,2
10.80,0.071,102.04,1533,1532,2
10.91,0.073,102.06,1532,1532,2
11.01,0.075,102.08,1532,1532,2
11.09,0.078,102.11,1532,1532,2
11.26,0.082,102.15,1532,1532,2
11.37,0.084,102.18,1533,1532,2
11.43,0.087,102.20,1532,1532,2
11.60,0.090,102.23,1532,1532,2
11.60,0.090,102.23,1532,1532,2
11.71,0.092,102.26,1532,1532,2
11.81,0.096,102.29,1533,1532,2
11.89,0.097,102.31,1532,1533,2
11.99,0.101,102.34,1532,1532,2
12.10,0.103,102.36,1533,1533,2
12.20,0.106,102.40,1534,1533,2
12.30,0.110,102.43,1533,1533,2
12.41,0.112,102.45,1533,1533,2
12.51,0.115,102.49,1532,1533,2
12.68,0.120,102.53,1533,1533,2
12.78,0.122,102.56,1533,1533,2
12.84,0.125,102.58,1533,1533,2
13.01,0.129,102.63,1533,1533,2
13.01,0.130,102.63,1533,1533,2
13.11,0.133,102.67,1534,1534,2
13.19,0.135,102.69,1533,1534,2
13.30,0.138,102.72,1533,1534,2
13.40,0.142,102.75,1533,1534,2
13.50,0.144,102.78,1533,1534,2
13.61,0.148,102.82,1532,1534,2
13.81,0.155,102.89,1533,1534,2
13.81,0.154,102.88,1533,1534,2
13.91,0.158,102.92,1533,1534,2
13.99,0.161,102.95,1533,1534,2
14.09,0.163,102.97,1534,1534,2
14.28,0.169,103.03,1534,1534,2
14.37,0.172,103.06,1534,1535,2
14.41,0.174,103.08,1534,1535,2
14.56,0.180,103.14,1533,1535,2
14.60,0.180,103.14,1534,1535,2
14.70,0.184,103.19,1533,1535,2
14.80,0.187,103.21,1534,1535,2
14.90,0.191,103.25,1534,1535,2
15.01,0.195,103.30,1533,1535,2
15.11,0.199,103.33,1534,1535,2
15.19,0.202,103.37,1534,1536,2
15.30,0.204,103.38,1534,1536,2
15.40,0.209,103.43,1534,1536,2
15.50,0.212,103.47,1534,1536,2
15.67,0.219,103.54,1534,1536,2
15.75,0.222,103.56,1534,1536,2
15.91,0.228,103.63,1533,1536,2
15.91,0.229,103.63,1534,1536,2
15.99,0.232,103.66,1535,1536,2
16.10,0.235,103.70,1534,1536,2
16.20,0.239,103.73,1534,1537,2
16.30,0.243,103.77,1533,1537,2
16.40,0.246,103.81,1533,1537,2
16.51,0.250,103.85,1534,1537,2
16.79,0.261,103.96,1534,1537,2
16.79,0.262,103.96,1534,1537,2
16.92,0.266,104.01,1534,1537,2
16.94,0.267,104.02,1534,1537,2
17.02,0.270,104.05,1534,1538,2
17.18,0.277,104.12,1534,1538,2
17.20,0.277,104.12,1533,1538,2
17.30,0.282,104.17,1534,1538,2
17.41,0.286,104.21,1535,1538,2
17.51,0.290,104.25,1534,1538,2
17.76,0.301,104.37,1534,1538,2
17.76,0.302,104.37,1534,1538,2
17.87,0.305,104.41,1534,1539,2
18.05,0.313,104.48,1534,1539,2
18.05,0.313,104.48,1534,1538,2
18.10,0.315,104.50,1534,1539,2
18.20,0.319,104.54,1534,1539,2
18.30,0.324,104.59,1533,1539,2
18.40,0.328,104.64,1535,1539,2
18.64,0.338,104.74,1533,1539,2
18.64,0.338,104.73,1534,1539,2
18.78,0.343,104.78,1534,1540,2
18.83,0.346,104.82,1534,1540,2
18.99,0.353,104.88,1535,1540,2
19.01,0.354,104.89,1534,1540,2
19.11,0.358,104.93,1534,1540,2
19.20,0.362,104.98,1534,1540,2
19.30,0.366,105.02,1534,1540,2
19.40,0.371,105.07,1534,1540,2
19.56,0.377,105.13,1533,1540,2
19.65,0.382,105.18,1533,1541,2
19.83,0.391,105.27,1533,1541,2
19.83,0.390,105.26,1534,1541,2
19.90,0.393,105.29,1534,1541,2
20.00,0.397,105.33,1534,1541,2
20.10,0.401,105.38,1534,1541,2
20.20,0.407,105.43,1534,1541,2
20.31,0.412,105.48,1534,1541,2
20.52,0.421,105.57,1534,1542,2
20.52,0.420,105.57,1534,1541,2
20.66,0.427,105.64,1534,1542,2
20.79,0.434,105.71,1534,1542,2
20.81,0.435,105.72,1534,1542,2
20.91,0.440,105.76,1535,1542,2
21.01,0.444,105.80,1534,1542,2
21.10,0.447,105.83,1533,1542,2
21.20,0.453,105.89,1534,1543,2
21.30,0.457,105.94,1533,1543,2
21.53,0.468,106.05,1535,1543,2
21.53,0.468,106.05,1534,1543,2
21.64,0.473,106.10,1534,1543,2
21.81,0.482,106.19,1534,1543,2
21.81,0.480,106.17,1534,1543,2
21.89,0.485,106.22,1534,1544,2
22.00,0.490,106.27,1534,1544,2
22.10,0.495,106.32,1534,1544,2
22.20,0.500,106.37,1535,1544,2
22.31,0.505,106.42,1534,1544,2
22.52,0.516,106.53,1534,1544,2
22.53,0.516,106.53,1534,1544,2
22.66,0.521,106.59,1535,1545,2
22.79,0.528,106.65,1534,1545,2
22.81,0.529,106.66,1534,1545,2
22.91,0.535,106.72,1534,1545,2
23.00,0.539,106.77,1535,1545,2
23.10,0.544,106.81,1534,1545,2
23.20,0.548,106.86,1534,1545,2
23.31,0.553,106.91,1534,1545,2
23.55,0.566,107.04,1534,1546,2
23.55,0.565,107.03,1534,1545,2
23.70,0.572,107.10,1534,1546,2
23.71,0.572,107.10,1534,1546,2
23.90,0.584,107.22,1534,1546,2
23.90,0.583,107.20,1534,1546,2
24.00,0.587,107.25,1534,1547,2
24.11,0.593,107.31,1534,1547,2
24.21,0.598,107.36,1534,1547,2
24.31,0.603,107.41,1534,1547,2
24.50,0.613,107.51,1534,1547,2
24.50,0.613,107.51,1534,1547,2
24.62,0.619,107.57,1533,1547,2
24.81,0.628,107.67,1534,1548,2
24.81,0.627,107.66,1534,1547,2
24.91,0.635,107.73,1534,1548,2
25.02,0.640,107.78,1534,1548,2
25.10,0.644,107.82,1534,1548,2
25.20,0.649,107.87,1534,1548,2
25.30,0.654,107.92,1534,1548,2
25.52,0.665,108.03,1535,1548,2
25.52,0.666,108.04,1534,1548,2
25.65,0.670,108.09,1534,1549,2
25.79,0.679,108.18,1535,1549,2
25.81,0.680,108.19,1534,1549,2
25.91,0.685,108.24,1534,1549,2
26.00,0.689,108.27,1535,1549,2
26.10,0.694,108.33,1535,1549,2
26.20,0.699,108.38,1534,1550,2
26.30,0.704,108.43,1534,1550,2
26.53,0.716,108.55,1534,1550,2
26.53,0.717,108.56,1534,1550,2
26.64,0.723,108.62,1534,1550,2
26.83,0.732,108.72,1534,1551,2
26.83,0.733,108.72,1534,1550,2
26.91,0.737,108.76,1535,1551,2
27.01,0.741,108.81,1534,1551,2
27.10,0.746,108.85,1535,1551,2
27.20,0.752,108.91,1534,1551,2
27.30,0.757,108.96,1534,1551,2
27.41,0.762,109.01,1534,1551,2
27.51,0.767,109.06,1534,1551,2
27.61,0.773,109.12,1533,1552,2
27.72,0.778,109.18,1535,1552,2
27.80,0.783,109.23,1535,1552,2
27.90,0.789,109.28,1533,1552,2
28.00,0.794,109.34,1534,1552,2
28.24,0.806,109.46,1534,1552,2
28.24,0.806,109.46,1533,1552,2
28.34,0.811,109.51,1534,1553,2
28.54,0.823,109.63,1534,1553,2
28.54,0.823,109.63,1534,1553,2
28.60,0.825,109.65,1534,1553,2
28.70,0.831,109.71,1534,1553,2
28.81,0.837,109.78,1534,1553,2
28.91,0.843,109.83,1534,1554,2
29.01,0.848,109.88,1535,1554,2
29.12,0.853,109.93,1534,1554,2
29.20,0.857,109.98,1534,1554,2
29.30,0.863,110.03,1534,1554,2
29.41,0.869,110.09,1535,1554,2
29.51,0.874,110.14,1535,1555,2
29.83,0.890,110.31,1534,1555,2
29.85,0.891,110.32,1534,1554,2
29.87,0.893,110.34,1534,1554,2
30.10,0.906,110.47,1534,1555,2
30.10,0.906,110.46,1535,1555,2
30.10,0.906,110.47,1534,1555,2
30.20,0.910,110.51,1535,1556,2
30.31,0.917,110.58,1535,1556,2
30.41,0.922,110.63,1534,1556,2
30.51,0.928,110.69,1535,1556,2
30.62,0.933,110.74,1534,1556,2
30.86,0.946,110.87,1535,1556,2
30.86,0.947,110.88,1535,1556,2
30.90,0.949,110.91,1534,1557,2
31.08,0.958,110.99,1534,1557,2
31.24,0.967,111.09,1535,1557,2
31.24,0.967,111.09,1534,1557,2
31.30,0.971,111.12,1535,1557,2
31.41,0.976,111.18,1534,1557,2
31.51,0.982,111.23,1534,1557,2
31.61,0.987,111.29,1535,1558,2
31.85,1.000,111.41,1534,1558,2
31.85,1.001,111.42,1534,1558,2
31.97,1.007,111.48,1535,1558,2
32.02,1.010,111.52,1535,1559,2
32.18,1.019,111.60,1534,1558,2
32.20,1.021,111.62,1535,1559,2
32.30,1.025,111.67,1535,1559,2
32.41,1.031,111.72,1535,1559,2
32.51,1.037,111.79,1534,1559,2
32.61,1.042,111.84,1534,1559,2
32.83,1.054,111.96,1534,1559,2
32.83,1.055,111.97,1535,1559,2
32.95,1.061,112.03,1535,1560,2
33.17,1.073,112.16,1534,1560,2
33.18,1.073,112.15,1535,1560,2
33.22,1.076,112.18,1534,1560,2
33.32,1.081,112.23,1534,1560,2
33.40,1.085,112.28,1534,1560,2
33.51,1.092,112.34,1534,1561,2
33.61,1.097,112.40,1534,1561,2
33.90,1.112,112.55,1534,1561,2
33.90,1.113,112.56,1534,1561,2
34.04,1.121,112.63,1535,1562,2
34.04,1.121,112.64,1534,1561,2
34.12,1.125,112.68,1535,1562,2
34.30,1.135,112.78,1535,1562,2
34.30,1.136,112.79,1535,1561,2
34.40,1.142,112.84,1535,1562,2
34.51,1.147,112.90,1535,1562,2
34.76,1.160,113.04,1535,1562,2
34.76,1.161,113.04,1534,1562,2
34.90,1.168,113.12,1535,1563,2
34.92,1.168,113.12,1535,1563,2
35.16,1.182,113.25,1535,1563,2
35.16,1.183,113.26,1535,1563,2
35.22,1.187,113.30,1534,1564,2
35.30,1.191,113.35,1535,1564,2
35.41,1.198,113.41,1534,1564,2
35.51,1.202,113.45,1535,1564,2
35.62,1.208,113.52,1534,1564,2
35.72,1.214,113.57,1534,1564,2
35.98,1.228,113.72,1534,1564,2
35.98,1.229,113.73,1534,1564,2
36.02,1.230,113.74,1535,1565,2
36.15,1.236,113.80,1534,1565,2
36.37,1.251,113.95,1535,1565,2
36.37,1.250,113.94,1534,1565,2
36.41,1.253,113.97,1535,1565,2
36.67,1.267,114.11,1534,1565,2
36.67,1.267,114.11,1534,1565,2
36.81,1.275,114.20,1535,1566,2
36.85,1.277,114.21,1535,1566,2
37.10,1.291,114.35,1535,1566,2
37.10,1.291,114.35,1534,1566,2
37.12,1.292,114.36,1535,1567,2
37.22,1.297,114.42,1534,1566,2
37.30,1.302,114.46,1534,1566,2
37.41,1.308,114.52,1535,1567,2
37.51,1.313,114.57,1534,1567,2
37.61,1.319,114.64,1535,1567,2
37.86,1.334,114.78,1535,1567,2
37.86,1.333,114.78,1534,1567,2
38.00,1.341,114.85,1535,1568,2
38.08,1.346,114.91,1535,1568,2
38.27,1.357,115.01,1534,1568,2
38.27,1.356,115.01,1535,1568,2
38.31,1.359,115.04,1534,1568,2
38.41,1.364,115.09,1535,1568,2
38.66,1.378,115.23,1535,1568,2
38.66,1.379,115.24,1535,1568,2
38.77,1.385,115.30,1535,1569,2
38.84,1.388,115.33,1535,1569,2
39.01,1.398,115.43,1534,1569,2
39.01,1.398,115.43,1535,1569,2
39.11,1.403,115.49,1535,1569,2
39.21,1.409,115.54,1535,1569,2
39.32,1.415,115.60,1534,1570,2
39.42,1.422,115.68,1534,1570,2
39.52,1.427,115.72,1535,1570,2
39.61,1.433,115.78,1534,1570,2
39.82,1.444,115.89,1535,1570,2
39.82,1.444,115.90,1534,1570,2
39.94,1.449,115.95,1535,1571,2
40.17,1.463,116.09,1535,1571,2
40.17,1.463,116.08,1535,1571,2
40.21,1.465,116.11,1534,1571,2
40.31,1.471,116.17,1534,1571,2
40.41,1.477,116.23,1535,1571,2
40.52,1.483,116.29,1535,1572,2
40.62,1.489,116.35,1535,1572,2
40.82,1.500,116.46,1535,1572,2
40.82,1.500,116.46,1535,1572,2
40.98,1.509,116.55,1535,1572,2
41.13,1.518,116.64,1535,1573,2
41.14,1.518,116.64,1535,1572,2
41.31,1.527,116.74,1535,1573,2
41.31,1.528,116.74,1535,1573,2
41.42,1.534,116.80,1535,1573,2
41.66,1.546,116.93,1535,1573,2
41.66,1.548,116.95,1535,1573,2
41.79,1.553,117.00,1535,1574,2
41.84,1.557,117.04,1535,1574,2
42.00,1.565,117.12,1535,1574,2
42.02,1.568,117.14,1535,1574,2
42.12,1.573,117.20,1535,1574,2
42.22,1.579,117.26,1535,1574,2
42.31,1.584,117.31,1535,1574,2
42.41,1.590,117.37,1535,1575,2
42.51,1.595,117.42,1535,1575,2
42.72,1.607,117.54,1535,1575,2
42.72,1.607,117.54,1534,1575,2
42.85,1.615,117.62,1535,1575,2
42.98,1.622,117.70,1535,1576,2
43.03,1.624,117.71,1535,1576,2
43.11,1.628,117.76,1535,1576,2
43.21,1.634,117.82,1535,1576,2
43.31,1.640,117.88,1535,1576,2
43.42,1.646,117.93,1535,1576,2
43.59,1.656,118.03,1535,1576,2
43.69,1.662,118.09,1534,1577,2
43.74,1.664,118.12,1535,1577,2
43.87,1.672,118.20,1534,1577,2
43.91,1.674,118.22,1535,1577,2
44.01,1.680,118.28,1534,1577,2
44.12,1.686,118.34,1535,1577,2
44.22,1.692,118.40,1535,1577,2
44.32,1.698,118.46,1535,1578,2
44.52,1.709,118.57,1536,1578,2
44.52,1.708,118.56,1535,1578,2
44.61,1.715,118.63,1535,1578,2
44.79,1.724,118.73,1535,1578,2
