# MISSION PROFILE DATA
# Timestamp: 2026-06-13 13:52:08
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 10 s
# PID: P=500.00, I=25.00, D=200.00
# Neutral ADC: 1600
# Bounds: 0 to 4095
# Depth Offset: -0.127 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.004,101.37,3965,0
0.11,-0.001,101.32,3936,0
0.27,-0.004,101.29,3889,1625
0.31,-0.002,101.31,3860,1625
0.42,-0.002,101.30,3811,1625
0.50,-0.004,101.28,3768,1625
0.60,0.002,101.35,3720,1625
0.70,0.001,101.33,3675,1625
0.80,-0.001,101.32,3627,1625
0.90,0.002,101.34,3583,1625
1.00,0.002,101.35,3543,1625
1.10,-0.002,101.30,3498,1625
1.20,-0.001,101.32,3452,1625
1.30,0.001,101.34,3403,1625
1.40,-0.001,101.31,3358,1625
1.50,-0.000,101.32,3310,1625
1.60,0.003,101.35,3264,1625
1.70,0.005,101.38,3214,1625
1.80,0.004,101.36,3167,1625
1.90,-0.000,101.32,3118,1625
2.00,-0.002,101.31,3070,1625
2.10,-0.000,101.32,3022,1625
2.20,-0.002,101.30,2977,1625
2.30,0.001,101.33,2933,1625
2.50,0.000,101.33,2891,1625
2.54,0.001,101.33,2852,1625
2.67,0.002,101.35,2811,1625
2.77,-0.000,101.32,2768,1625
2.82,0.001,101.33,2723,1625
2.93,0.001,101.34,2677,1625
3.03,-0.003,101.29,2629,1625
3.18,0.002,101.35,2581,1625
3.20,-0.001,101.31,2545,1625
3.30,0.000,101.33,2495,1625
3.40,0.007,101.39,2451,1625
3.54,-0.000,101.32,2405,1625
3.64,0.004,101.36,2358,1625
3.76,0.004,101.36,2308,1625
3.80,0.004,101.36,2264,1625
3.91,0.001,101.33,2215,1625
4.07,-0.000,101.32,2167,1625
4.10,-0.000,101.32,2118,1625
4.21,-0.001,101.32,2071,1625
4.35,-0.003,101.30,2021,1625
4.46,-0.003,101.30,1972,1625
4.58,-0.004,101.28,1925,1625
4.62,0.001,101.34,1876,1625
4.72,0.000,101.33,1831,1625
4.81,0.002,101.35,1785,1625
4.96,-0.001,101.32,1738,1625
5.08,-0.001,101.31,1698,1625
5.12,0.001,101.33,1658,1625
5.23,-0.000,101.32,1629,1625
5.31,0.003,101.35,1629,1625
5.44,-0.003,101.30,1629,1625
5.59,0.000,101.33,1629,1625
5.61,-0.001,101.32,1629,1625
5.78,0.001,101.33,1629,1625
5.89,-0.000,101.32,1629,1625
5.91,-0.006,101.27,1629,1625
6.02,-0.001,101.32,1629,1625
6.13,-0.003,101.30,1629,1625
6.21,-0.002,101.30,1629,1625
6.30,0.002,101.35,1629,1625
6.41,-0.000,101.32,1629,1625
6.51,-0.005,101.27,1629,1625
6.67,0.004,101.37,1629,1625
6.81,0.002,101.35,1629,1625
6.82,0.001,101.34,1629,1625
6.92,0.001,101.33,1629,1625
7.05,0.002,101.35,1629,1625
7.17,0.004,101.36,1629,1625
7.25,-0.004,101.28,1629,1625
7.40,-0.004,101.29,1629,1625
7.41,-0.005,101.28,1629,1625
7.53,-0.002,101.30,1629,1625
7.64,-0.002,101.30,1629,1625
7.75,0.000,101.33,1629,1625
7.81,-0.000,101.32,1629,1625
7.92,-0.004,101.28,1629,1625
8.04,-0.004,101.29,1629,1625
8.17,0.000,101.33,1629,1625
8.26,-0.000,101.32,1629,1625
8.31,0.001,101.33,1629,1625
8.41,0.001,101.33,1629,1625
8.53,0.001,101.34,1629,1625
8.64,-0.001,101.31,1629,1625
8.75,-0.001,101.31,1629,1625
8.88,0.001,101.34,1629,1625
8.97,-0.002,101.30,1629,1625
9.01,-0.003,101.30,1629,1625
9.11,-0.001,101.32,1629,1625
9.25,0.001,101.33,1629,1625
9.38,0.001,101.33,1629,1625
9.42,-0.001,101.31,1629,1625
9.53,-0.001,101.31,1629,1625
9.67,0.003,101.36,1629,1625
9.77,-0.001,101.32,1629,1625
9.81,-0.003,101.29,1629,1625
9.91,-0.001,101.31,1629,1625
10.05,-0.001,101.31,1629,1625
10.17,-0.002,101.30,1629,1625
10.21,-0.001,101.31,1629,1625
10.33,0.001,101.33,1629,1625
10.44,0.001,101.33,1629,1625
10.58,0.002,101.35,1629,1625
10.67,0.003,101.35,1629,1625
10.71,-0.000,101.32,1629,1625
10.81,-0.002,101.31,1629,1625
10.92,-0.000,101.32,1629,1625
11.06,0.000,101.33,1628,1625
11.15,-0.005,101.28,1629,1625
