# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:55:57
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=700.00, I=100.00, D=500.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.034 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.000,3972,1750
1.00,-0.040,3595,750
2.01,-0.030,3184,750
3.02,0.100,2784,750
4.03,0.190,2378,750
5.04,0.230,1948,750
6.05,0.220,1531,750
7.06,0.210,1138,750
8.07,0.220,746,750
9.08,0.260,741,750
10.09,0.330,741,750
11.10,0.400,741,750
12.11,0.490,741,750
13.12,0.590,741,750
14.13,0.700,741,750
15.14,0.830,741,750
16.15,0.960,741,750
17.15,1.110,785,859
18.15,1.270,893,975
19.15,1.450,1002,1104
20.15,1.630,1127,1238
21.16,1.830,1247,1378
22.16,2.040,1371,1522
23.16,2.250,1489,1642
24.16,2.480,1617,1794
25.17,2.710,1757,1964
26.17,2.940,1904,2159
27.17,3.170,2070,2376
28.17,3.400,2251,2613
29.17,3.550,2433,2701
30.18,3.560,2564,2826
31.18,3.560,2707,2929
32.18,3.560,2833,3037
33.18,3.560,2946,3140
34.18,3.560,3073,3250
35.18,3.560,3201,3353
36.19,3.560,3312,3456
37.19,3.550,3421,3554
38.19,3.540,3531,3644
39.19,3.520,3627,3724
40.19,3.480,3723,3794
41.19,3.430,3811,3850
42.20,3.370,3838,3891
43.20,3.300,3856,3916
44.20,3.210,3860,3925
45.20,3.110,3862,3918
46.21,3.010,3863,3898
47.21,2.900,3830,3861
48.21,2.780,3827,3804
49.22,2.650,3771,3740
50.22,2.530,3687,3657
51.22,2.400,3610,3559
52.22,2.270,3501,3453
53.22,2.140,3419,3339
54.22,2.020,3282,3221
55.23,1.900,2902,1275
56.23,1.790,2442,1203
57.23,1.700,1973,1150
58.23,1.640,1531,1123
59.23,1.610,1203,1130
60.24,1.640,1122,1163
61.24,1.700,1166,1227
62.24,1.800,1250,1316
63.25,1.930,1349,1428
64.25,2.100,1453,1536
65.25,2.300,1534,1659
66.25,2.520,1635,1809
67.26,2.750,1759,1997
68.26,3.000,1918,2220
69.27,3.260,2089,2469
70.27,3.520,2300,2739
71.27,3.570,2464,2751
72.27,3.570,2600,2853
73.27,3.570,2725,2959
74.27,3.570,2843,3065
75.27,3.570,2965,3171
76.28,3.570,3085,3282
77.28,3.570,3206,3387
78.28,3.570,3327,3494
79.28,3.570,3436,3601
80.28,3.570,3543,3706
81.28,3.570,3661,3811
82.28,3.570,3784,3918
83.29,3.570,3893,4027
84.29,3.560,3981,4095
85.30,3.570,3980,4095
86.31,3.570,3980,4095
87.32,3.570,3953,4095
88.33,3.570,3945,4095
89.34,3.570,3976,4095
90.35,3.570,3977,4095
91.36,3.570,3947,4095
92.36,3.570,3946,4095
93.38,3.570,3946,4095
94.38,3.570,3946,4095
95.39,3.570,3946,4095
96.40,3.570,3947,4095
97.41,3.570,3947,4095
98.42,3.570,3946,4095
99.43,3.570,3947,4095
100.44,3.570,3947,4095
101.44,3.570,3947,4095
102.45,3.570,3946,4095
103.46,3.570,3946,4095
104.47,3.570,3947,4095
105.48,3.570,3946,4095
106.49,3.570,3947,4095
107.50,3.570,3947,4095
108.51,3.570,3947,4095
109.52,3.570,3946,4095
110.52,3.570,3947,4095
111.53,3.570,3946,4095
112.54,3.570,3947,4095
113.55,3.570,3946,4095
114.56,3.570,3947,4095
115.57,3.570,3946,4095
116.57,3.570,3946,4095
117.57,3.570,3947,4095
118.58,3.570,3947,4095
119.58,3.570,3946,4095
120.59,3.570,3947,4095
121.60,3.570,3947,4095
122.60,3.570,3947,4095
123.61,3.570,3947,4095
124.61,3.570,3946,4095
125.61,3.570,3946,4095
126.62,3.570,3947,4095
127.63,3.570,3947,4095
128.64,3.570,3947,4095
129.64,3.570,3947,4095
130.65,3.570,3946,4095
131.65,3.570,3947,4095
132.66,3.570,3947,4095
133.66,3.570,3946,4095
134.67,3.570,3946,4095
135.68,3.570,3947,4095
136.68,3.570,3947,4095
137.69,3.570,3946,4095
138.69,3.560,3947,4095
139.70,3.570,3947,4095
140.71,3.570,3947,4095
141.71,3.570,3946,4095
142.72,3.570,3946,4095
143.72,3.290,3946,4095
144.73,2.530,3946,4095
145.74,1.580,3946,4095
146.74,0.890,3946,4095
147.75,0.260,3947,4095
