# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:19:30
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=1200.00, I=150.00, D=600.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.125 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.270,1763,1750
1.00,0.300,1515,1250
2.01,0.310,1324,1250
3.02,0.320,1262,1250
4.03,0.340,1261,1250
5.03,0.360,1262,1250
6.05,0.370,1262,1250
7.05,0.390,1262,1250
8.06,0.390,1262,1250
9.07,0.400,1262,1250
10.08,0.400,1262,1250
11.09,0.390,1262,1250
12.10,0.380,1262,1250
13.11,0.370,1263,1250
14.12,0.360,1262,1250
15.13,0.350,1263,1250
16.14,0.350,1263,1250
17.15,0.350,1263,1250
18.16,0.350,1263,1250
19.17,0.350,1263,1250
20.18,0.360,1263,1250
21.19,0.370,1263,1250
22.20,0.380,1263,1250
23.21,0.380,1263,1250
24.22,0.390,1264,1250
25.23,0.390,1263,1250
26.24,0.390,1264,1250
27.25,0.390,1264,1250
28.26,0.390,1264,1250
29.27,0.390,1264,1250
30.28,0.390,1264,1250
31.29,0.390,1264,1250
32.30,0.390,1264,1250
33.31,0.390,1264,1250
34.32,0.380,1264,1250
35.33,0.380,1264,1250
36.34,0.380,1264,1250
37.35,0.380,1264,1250
38.36,0.380,1264,1250
39.37,0.380,1264,1250
40.38,0.390,1264,1250
41.39,0.390,1264,1250
42.40,0.390,1264,1250
43.41,0.390,1264,1250
44.42,0.390,1264,1250
45.42,0.390,1373,2866
46.43,0.390,1735,2997
47.44,0.370,2143,3102
48.44,0.340,2524,3174
49.45,0.290,2880,3247
50.46,0.300,3277,3404
51.47,0.290,3662,3501
52.47,0.290,3985,3621
53.48,0.300,3984,3754
54.49,0.290,3983,3798
55.49,0.290,3970,3798
56.50,0.290,3984,3798
57.50,0.290,3985,3798
58.51,0.300,3962,3798
59.52,0.260,3984,3798
60.53,0.160,3973,3798
61.53,0.120,3985,3798
62.54,0.100,3965,3798
