# MISSION PROFILE DATA
# Timestamp: 2026-06-25 00:27:16
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=96.00, I=0.65, D=40.00
# Neutral ADC: 2048
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.001,101.33,3908,1515,2
0.00,-0.001,101.32,3896,1604,2
0.08,0.000,101.33,3847,1658,2
0.22,-0.000,101.32,3792,1703,2
0.42,-0.000,101.32,3739,1734,2
0.42,0.000,101.33,3687,1756,2
0.48,-0.000,101.32,3633,1772,2
0.58,0.001,101.33,3585,1782,2
0.68,-0.001,101.32,3541,1790,2
0.79,-0.001,101.32,3492,1795,2
0.89,-0.001,101.32,3441,1799,2
0.99,0.000,101.33,3393,1801,2
1.08,-0.000,101.32,3341,1803,2
1.22,0.000,101.33,3290,1805,2
1.36,0.000,101.33,3238,1805,2
1.38,0.000,101.33,3184,1806,2
1.48,0.000,101.33,3130,1807,2
1.58,-0.001,101.31,3077,1807,2
1.69,-0.000,101.32,3026,1807,2
1.79,-0.000,101.32,2976,1807,2
1.89,-0.000,101.32,2929,1807,2
1.97,-0.000,101.32,2885,1807,2
2.18,-0.000,101.32,2841,1807,2
2.20,-0.000,101.32,2796,1807,2
2.34,-0.000,101.32,2749,1807,2
2.38,-0.000,101.32,2701,1807,2
2.48,0.000,101.33,2649,1807,2
2.59,0.000,101.33,2597,1807,2
2.69,0.000,101.33,2552,1807,2
2.77,-0.001,101.32,2504,1807,2
2.88,0.000,101.33,2454,1807,2
2.98,-0.000,101.32,2403,1808,2
3.16,0.000,101.33,2353,1808,2
3.21,-0.000,101.32,2301,1808,2
3.35,0.001,101.33,2251,1808,2
3.37,-0.000,101.32,2201,1808,2
3.48,0.000,101.33,2146,1807,2
3.58,0.000,101.33,2095,1807,2
3.68,-0.000,101.32,2041,1807,2
3.79,-0.000,101.32,1991,1807,2
3.89,-0.000,101.32,1945,1807,2
3.99,0.001,101.33,1899,1807,2
4.08,0.000,101.33,1859,1808,2
4.33,0.001,101.34,1826,1807,2
4.34,0.002,101.35,1800,1808,2
4.38,0.002,101.35,1795,1808,2
4.48,0.003,101.36,1795,1808,2
4.58,0.003,101.36,1794,1808,2
4.69,0.005,101.37,1794,1808,2
4.79,0.006,101.38,1795,1808,2
4.89,0.008,101.41,1795,1808,2
4.98,0.009,101.42,1795,1809,2
5.08,0.011,101.43,1795,1809,2
5.35,0.016,101.49,1794,1809,2
5.35,0.016,101.49,1795,1809,2
5.39,0.017,101.50,1795,1810,2
5.49,0.019,101.51,1794,1810,2
5.58,0.021,101.54,1795,1810,2
5.68,0.024,101.57,1795,1810,2
5.78,0.026,101.59,1795,1811,2
5.89,0.029,101.62,1795,1811,2
5.99,0.032,101.65,1795,1811,2
