# MISSION PROFILE DATA
# Timestamp: 2026-06-13 02:44:20
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Arrival Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.003,101.35,3954,0
0.04,0.001,101.33,3905,0
0.15,-0.004,101.29,3854,0
0.30,0.001,101.33,3803,0
0.34,0.001,101.33,3757,0
0.44,-0.002,101.31,3708,0
0.54,-0.004,101.28,3663,0
0.64,0.002,101.34,3614,0
0.74,-0.002,101.31,3575,0
0.84,-0.003,101.30,3530,925
0.94,0.003,101.36,3488,925
1.04,0.001,101.33,3442,925
1.14,0.001,101.33,3396,925
1.24,-0.005,101.27,3352,925
1.34,0.002,101.35,3305,925
1.44,-0.001,101.32,3259,925
1.54,0.001,101.34,3209,925
1.64,0.001,101.33,3163,925
1.74,-0.002,101.30,3112,925
1.84,0.001,101.33,3064,925
1.94,-0.000,101.32,3019,925
2.08,0.002,101.34,2974,925
2.24,-0.002,101.31,2931,925
2.25,-0.002,101.30,2889,925
2.35,0.001,101.34,2851,925
2.50,0.005,101.37,2809,925
2.60,0.002,101.34,2768,925
2.65,-0.002,101.30,2724,925
2.76,-0.001,101.31,2678,925
2.84,-0.003,101.30,2629,925
2.94,-0.002,101.31,2581,925
3.04,-0.002,101.31,2542,925
3.18,0.003,101.35,2499,925
3.29,0.001,101.33,2447,925
3.42,-0.000,101.32,2404,925
3.46,0.001,101.34,2360,925
3.57,0.005,101.37,2313,925
3.64,-0.001,101.32,2265,925
3.74,-0.001,101.32,2214,925
3.84,0.001,101.34,2170,925
3.94,-0.001,101.32,2122,925
4.07,-0.000,101.32,2073,925
4.18,-0.002,101.30,2022,925
4.24,-0.002,101.31,1980,925
4.34,0.002,101.34,1929,925
4.44,0.002,101.34,1880,925
4.60,0.001,101.33,1836,925
4.65,0.001,101.33,1789,925
4.75,0.003,101.35,1743,925
4.84,0.001,101.34,1696,925
4.94,0.005,101.37,1646,925
5.08,0.004,101.36,1603,925
5.23,0.011,101.44,1556,925
5.24,0.009,101.41,1517,925
5.34,0.009,101.42,1470,925
5.44,0.014,101.47,1428,925
5.62,0.018,101.51,1382,925
5.66,0.019,101.52,1339,925
5.77,0.022,101.55,1295,925
5.84,0.030,101.63,1253,925
6.00,0.032,101.65,1203,925
6.05,0.034,101.66,1160,925
6.16,0.044,101.77,1108,925
6.24,0.045,101.78,1059,925
6.34,0.053,101.86,1007,925
6.44,0.057,101.90,962,925
6.58,0.068,102.01,924,925
6.74,0.082,102.15,920,925
6.74,0.084,102.17,920,925
6.84,0.094,102.27,921,925
6.94,0.103,102.37,921,925
7.05,0.119,102.53,920,925
7.18,0.127,102.61,920,925
7.29,0.140,102.74,921,925
7.34,0.150,102.84,920,925
7.48,0.166,103.00,921,925
7.64,0.184,103.18,919,925
7.64,0.187,103.21,921,925
7.74,0.200,103.35,921,925
7.84,0.218,103.52,920,925
7.94,0.231,103.66,921,925
8.08,0.251,103.85,920,925
8.24,0.279,104.14,920,925
8.25,0.279,104.14,919,925
8.34,0.291,104.26,920,925
8.48,0.321,104.56,920,925
8.55,0.329,104.65,921,925
8.65,0.346,104.82,921,925
8.75,0.360,104.96,920,925
8.85,0.380,105.16,920,925
8.95,0.399,105.35,921,925
9.11,0.430,105.67,921,925
9.16,0.432,105.69,921,925
9.28,0.461,105.98,920,925
9.35,0.476,106.13,920,925
9.45,0.494,106.31,920,925
9.55,0.515,106.52,921,925
9.69,0.545,106.82,920,925
