# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:47:36
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=1200.00, I=150.00, D=600.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.139 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.230,1759,1750
1.00,0.290,1420,750
2.01,0.380,1091,750
3.02,0.450,853,750
4.03,0.510,763,750
5.04,0.580,764,750
6.05,0.640,763,750
7.06,0.710,764,750
8.07,0.780,764,750
9.08,0.860,764,750
10.09,0.950,764,750
11.09,1.040,764,750
12.10,1.130,764,750
13.11,1.240,764,750
14.12,1.360,764,750
15.12,1.480,764,750
16.13,1.620,764,780
17.14,1.770,870,961
18.14,1.920,989,1155
19.14,2.090,1126,1317
20.14,2.260,1263,1470
21.15,2.430,1404,1659
22.15,2.600,1562,1861
23.15,2.770,1749,2086
24.15,2.930,1943,2332
25.15,3.080,2161,2580
26.16,3.220,2387,2842
27.16,3.340,2632,3084
28.16,3.460,2898,3366
29.16,3.560,3171,3639
30.16,3.660,3416,3929
31.16,3.630,3623,3981
32.17,3.600,3836,4095
33.18,3.550,3981,4095
34.19,3.490,3981,4095
35.19,3.410,3980,4095
36.20,3.320,3981,4095
37.21,3.210,3981,4095
38.22,3.100,3981,4095
39.23,2.980,3981,4095
40.24,2.850,3981,4077
41.24,2.710,3961,3957
42.25,2.570,3873,3806
43.25,2.430,3715,3632
44.25,2.280,3531,3428
45.26,2.130,3336,3211
46.26,2.000,3106,1069
47.26,1.870,2674,927
48.26,1.770,2215,815
49.27,1.690,1745,750
50.27,1.640,1303,750
51.28,1.650,905,750
52.29,1.700,768,833
53.29,1.800,872,974
54.29,1.940,1000,1181
55.29,2.130,1145,1377
56.30,2.340,1304,1610
57.30,2.580,1498,1908
58.30,2.840,1728,2256
59.30,3.110,2002,2657
60.30,3.370,2290,3089
61.30,3.640,2550,3554
62.30,3.660,2782,3603
63.30,3.660,3021,3782
64.31,3.660,3293,3953
65.31,3.660,3543,4095
66.32,3.660,3799,4095
67.33,3.660,3982,4095
68.33,3.660,3981,4095
69.34,3.660,3941,4095
70.35,3.660,3943,4095
71.36,3.660,3977,4095
72.37,3.660,3951,4095
73.38,3.660,3940,4095
74.39,3.660,3940,4095
75.40,3.660,3940,4095
76.41,3.660,3940,4095
77.42,3.660,3940,4095
78.43,3.660,3941,4095
79.44,3.660,3940,4095
80.44,3.660,3940,4095
81.45,3.660,3940,4095
82.46,3.660,3940,4095
83.47,3.660,3940,4095
84.48,3.660,3940,4095
85.49,3.660,3940,4095
86.50,3.660,3940,4095
87.50,3.660,3940,4095
88.51,3.660,3940,4095
89.52,3.660,3940,4095
90.53,3.660,3940,4095
91.53,3.660,3940,4095
92.54,3.660,3940,4095
93.55,3.660,3940,4095
94.56,3.660,3940,4095
95.57,3.660,3940,4095
96.58,3.660,3940,4095
97.59,3.660,3940,4095
98.60,3.660,3940,4095
99.60,3.660,3940,4095
100.61,3.660,3940,4095
101.62,3.660,3940,4095
102.63,3.660,3940,4095
103.64,3.660,3940,4095
104.65,3.660,3940,4095
105.65,3.660,3940,4095
106.66,3.660,3940,4095
107.66,3.660,3940,4095
108.67,3.660,3940,4095
109.67,3.660,3940,4095
110.69,3.660,3940,4095
111.69,3.660,3940,4095
112.70,3.660,3940,4095
113.70,3.660,3940,4095
114.71,3.660,3940,4095
115.72,3.660,3940,4095
116.73,3.660,3940,4095
117.73,3.660,3940,4095
118.74,3.660,3940,4095
119.74,3.660,3940,4095
120.75,3.660,3940,4095
121.75,3.660,3940,4095
122.76,3.660,3940,4095
123.77,3.660,3940,4095
124.78,3.660,3940,4095
125.78,3.660,3940,4095
126.79,3.660,3940,4095
127.80,3.660,3940,4095
128.80,3.660,3940,4095
129.81,3.660,3940,4095
130.81,3.660,3940,4095
131.82,3.660,3940,4095
132.83,3.660,3940,4095
133.83,3.660,3940,4095
134.84,3.660,3940,4095
135.84,3.660,3940,4095
136.85,3.660,3940,4095
137.86,3.660,3940,4095
138.86,3.660,3940,4095
139.87,3.660,3940,4095
140.88,3.660,3941,4095
141.88,3.660,3940,4095
142.89,3.660,3940,4095
143.89,3.660,3941,4095
144.90,3.660,3940,4095
145.90,3.660,3940,4095
146.91,3.660,3940,4095
147.91,3.660,3940,4095
148.92,3.660,3940,4095
149.93,3.660,3940,4095
150.94,3.660,3940,4095
151.94,3.660,3940,4095
152.94,3.660,3940,4095
153.96,3.660,3940,4095
154.96,3.660,3940,4095
155.97,3.660,3940,4095
156.97,3.660,3940,4095
157.98,3.660,3940,4095
158.99,3.660,3940,4095
159.99,3.660,3940,4095
161.00,3.660,3940,4095
162.00,3.660,3940,4095
163.01,3.660,3940,4095
164.01,3.660,3940,4095
165.02,3.660,3940,4095
166.03,3.660,3940,4095
167.03,3.660,3940,4095
168.03,3.660,3940,4095
169.04,3.660,3940,4095
170.04,3.660,3940,4095
171.06,3.660,3940,4095
172.06,3.660,3940,4095
173.06,3.670,3940,4095
174.07,3.450,3940,4095
175.08,2.930,3940,4095
176.08,2.020,3940,4095
177.09,1.420,3940,4095
178.09,0.920,3940,4095
179.09,0.420,3940,4095
180.10,0.130,3940,4095
