# MISSION PROFILE DATA
# Timestamp: 2026-06-18 17:47:55
# Deep Target: 1.40 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=20.00, I=0.10, D=10.00
# Neutral ADC: 1615
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.000,101.33,3928,1602
0.00,-0.002,101.30,3899,1603
0.13,0.000,101.33,3853,1603
0.20,-0.001,101.32,3797,1603
0.35,0.004,101.36,3745,1603
0.37,0.001,101.33,3697,1603
0.50,-0.004,101.29,3648,1603
0.57,-0.002,101.31,3600,1603
0.72,0.001,101.33,3561,1603
0.77,-0.003,101.30,3513,1603
0.87,0.000,101.33,3466,1603
0.98,-0.001,101.31,3418,1603
1.19,-0.003,101.29,3371,1603
1.19,-0.002,101.31,3323,1603
1.27,-0.000,101.32,3272,1603
1.37,-0.000,101.32,3223,1603
1.47,-0.000,101.32,3170,1603
1.57,-0.002,101.30,3122,1603
1.71,-0.003,101.30,3074,1603
1.77,-0.001,101.32,3025,1603
1.90,0.000,101.33,2978,1603
2.05,0.002,101.35,2931,1603
2.07,-0.000,101.32,2888,1603
2.27,-0.004,101.29,2849,1603
2.27,0.000,101.33,2807,1603
2.39,0.003,101.36,2765,1603
2.59,0.003,101.35,2718,1603
2.60,-0.001,101.32,2671,1603
2.72,-0.000,101.32,2622,1603
2.78,-0.002,101.31,2574,1603
2.92,0.001,101.33,2533,1603
3.04,-0.002,101.30,2486,1603
3.10,0.001,101.34,2438,1603
3.24,0.001,101.33,2391,1603
3.27,0.002,101.34,2344,1603
3.42,0.001,101.33,2295,1603
3.48,-0.002,101.31,2247,1603
3.63,-0.000,101.32,2199,1603
3.67,0.004,101.36,2150,1603
3.77,0.002,101.35,2103,1603
3.87,-0.001,101.31,2063,1603
4.05,-0.002,101.30,2010,1603
4.07,-0.001,101.32,1963,1603
4.27,-0.001,101.32,1914,1603
4.27,0.001,101.33,1868,1603
4.43,0.001,101.34,1821,1603
4.50,0.003,101.36,1774,1603
