# MISSION PROFILE DATA
# Timestamp: 2026-06-20 14:24:27
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Arrival Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.003,101.36,971,1884,2
0.00,0.002,101.35,947,1912,2
0.10,0.005,101.38,947,1932,2
0.21,0.009,101.42,946,1946,2
0.31,0.012,101.45,946,1956,2
0.50,0.021,101.54,946,1962,2
0.50,0.021,101.54,946,1967,2
0.60,0.026,101.59,946,1971,2
0.70,0.033,101.66,946,1973,2
0.81,0.040,101.73,946,1975,2
0.91,0.048,101.81,946,1977,2
1.01,0.055,101.88,946,1978,2
1.10,0.063,101.96,946,1979,2
1.20,0.071,102.04,946,1979,2
1.56,0.093,102.26,939,1980,2
1.56,0.109,102.43,946,1980,2
1.57,0.110,102.43,939,1981,2
1.61,0.114,102.47,945,1982,2
1.71,0.125,102.59,945,1982,2
1.81,0.137,102.71,940,1982,2
1.91,0.151,102.85,939,1983,2
2.00,0.161,102.95,945,1983,2
2.10,0.176,103.10,939,1983,2
2.20,0.190,103.24,939,1984,2
2.31,0.205,103.40,945,1984,2
2.41,0.220,103.54,939,1985,2
2.51,0.235,103.70,945,1985,2
2.62,0.251,103.86,939,1986,2
2.70,0.265,104.00,945,1986,2
2.80,0.282,104.17,939,1987,2
2.90,0.298,104.33,945,1987,2
3.01,0.316,104.51,939,1988,2
3.11,0.334,104.70,945,1988,2
3.21,0.352,104.88,939,1989,2
3.32,0.371,105.07,945,1989,2
3.40,0.385,105.21,939,1990,2
3.50,0.405,105.41,945,1990,2
3.60,0.423,105.60,939,1991,2
3.71,0.443,105.79,945,1992,2
3.87,0.474,106.11,945,1992,2
3.91,0.481,106.18,939,1994,2
4.01,0.501,106.38,946,1993,2
4.11,0.522,106.60,945,1994,2
4.22,0.542,106.80,945,1995,2
4.30,0.558,106.96,945,1995,2
4.40,0.581,107.18,939,1995,2
4.50,0.601,107.39,939,1996,2
4.61,0.622,107.60,945,1997,2
4.71,0.644,107.82,946,1997,2
4.81,0.666,108.05,939,1998,2
4.92,0.688,108.27,945,1999,2
5.02,0.709,108.48,945,1999,2
5.10,0.726,108.65,938,2000,2
5.20,0.749,108.88,945,2000,2
5.31,0.771,109.10,939,2001,2
5.41,0.793,109.33,945,2002,2
5.51,0.817,109.57,945,2002,2
5.61,0.839,109.79,939,2003,2
5.84,0.890,110.30,945,2004,2
5.84,0.891,110.31,945,2003,2
5.90,0.903,110.44,945,2006,2
6.01,0.926,110.67,945,2006,2
6.11,0.950,110.91,939,2006,2
6.21,0.973,111.14,939,2007,2
6.32,0.996,111.38,945,2008,2
6.42,1.020,111.62,946,2008,2
6.50,1.038,111.80,939,2009,2
6.60,1.062,112.04,946,2009,2
6.71,1.086,112.28,939,2010,2
6.81,1.109,112.52,946,2011,2
6.91,1.132,112.75,945,2011,2
7.01,1.156,112.99,939,2012,2
7.12,1.181,113.24,945,2013,2
7.20,1.199,113.43,945,2014,2
7.30,1.223,113.67,945,2014,2
7.41,1.246,113.90,939,2015,2
7.51,1.270,114.14,945,2015,2
7.61,1.295,114.39,939,2016,2
7.86,1.352,114.96,945,2017,2
7.86,1.352,114.96,946,2016,2
7.92,1.367,115.12,945,2019,2
8.00,1.387,115.32,946,2019,2
8.10,1.410,115.56,938,2019,2
8.21,1.435,115.80,939,2020,2
8.31,1.459,116.05,945,2021,2
8.41,1.483,116.29,945,2021,2
8.52,1.507,116.53,939,2022,2
8.62,1.532,116.78,945,2023,2
8.70,1.552,116.98,946,2023,2
8.80,1.575,117.22,939,2024,2
8.91,1.599,117.46,945,2024,2
9.01,1.625,117.72,939,2025,2
9.11,1.648,117.96,946,2026,2
9.22,1.672,118.20,945,2027,2
9.32,1.697,118.45,945,2027,2
9.40,1.717,118.65,939,2028,2
9.51,1.741,118.90,945,2028,2
9.61,1.767,119.15,939,2029,2
9.86,1.825,119.74,945,2030,2
9.86,1.825,119.74,945,2029,2
9.90,1.836,119.85,945,2032,2
10.00,1.860,120.09,945,2032,2
10.11,1.884,120.34,939,2033,2
10.21,1.910,120.60,943,2033,2
10.31,1.934,120.84,938,2034,2
10.41,1.959,121.09,944,2035,2
10.52,1.982,121.33,944,2035,2
10.62,2.007,121.58,939,2036,2
10.70,2.026,121.77,946,2037,2
10.81,2.050,122.02,945,2037,2
10.91,2.075,122.26,939,2038,2
11.01,2.101,122.53,945,2039,2
11.11,2.126,122.78,945,2039,2
11.22,2.150,123.02,939,2040,2
11.32,2.175,123.27,945,2041,2
11.42,2.199,123.51,945,2041,2
11.51,2.219,123.72,939,2042,2
11.61,2.243,123.96,945,2042,2
11.86,2.302,124.56,939,2043,2
11.86,2.303,124.57,945,2042,2
11.92,2.317,124.71,946,2046,2
12.02,2.342,124.96,945,2045,2
12.10,2.363,125.17,945,2046,2
12.21,2.387,125.42,945,2047,2
12.31,2.412,125.67,945,2047,2
12.41,2.436,125.91,939,2048,2
12.52,2.461,126.16,945,2049,2
12.62,2.486,126.41,945,2049,2
12.72,2.511,126.66,939,2050,2
12.80,2.531,126.86,945,2051,2
12.91,2.555,127.11,945,2051,2
13.01,2.579,127.35,939,2052,2
13.11,2.605,127.61,944,2053,2
13.22,2.629,127.85,945,2053,2
13.32,2.653,128.10,939,2054,2
13.42,2.677,128.34,945,2055,2
13.52,2.703,128.60,944,2055,2
13.61,2.723,128.80,939,2056,2
13.71,2.747,129.04,945,2057,2
13.86,2.784,129.42,944,2057,2
13.92,2.800,129.58,937,2059,2
14.01,2.818,129.76,942,2059,2
14.11,2.844,130.02,934,2059,2
14.21,2.867,130.26,923,2060,2
14.31,2.892,130.51,935,2061,2
14.42,2.917,130.77,945,2061,2
14.52,2.942,131.02,943,2062,2
14.62,2.966,131.25,946,2063,2
14.73,2.991,131.51,943,2064,2
14.81,3.012,131.71,939,2064,2
14.91,3.036,131.96,939,2065,2
15.01,3.060,132.20,941,2065,2
15.12,3.086,132.46,940,2066,2
15.22,3.109,132.70,942,2067,2
15.32,3.135,132.96,940,2068,2
15.43,3.161,133.22,942,2068,2
15.51,3.179,133.40,938,2069,2
15.61,3.204,133.65,945,2069,2
15.86,3.264,134.27,939,2070,2
15.86,3.265,134.27,945,2069,2
15.92,3.279,134.41,945,2073,2
16.03,3.303,134.65,948,2072,2
16.11,3.324,134.86,943,2073,2
16.21,3.348,135.11,940,2074,2
16.31,3.373,135.36,943,2074,2
16.42,3.398,135.62,938,2075,2
16.52,3.422,135.85,946,2076,2
16.62,3.447,136.11,947,2076,2
16.73,3.472,136.36,938,2077,2
16.81,3.491,136.56,945,2078,2
16.91,3.516,136.81,945,2078,2
17.01,3.540,137.05,938,2079,2
17.12,3.566,137.31,945,2080,2
17.22,3.589,137.54,945,2080,2
17.32,3.614,137.79,938,2081,2
17.42,3.640,138.06,945,2082,2
17.51,3.659,138.25,945,2083,2
17.61,3.683,138.49,946,2083,2
17.71,3.709,138.75,938,2084,2
17.87,3.747,139.13,945,2084,2
17.91,3.758,139.25,938,2086,2
18.01,3.781,139.48,945,2086,2
18.12,3.806,139.74,938,2086,2
18.22,3.832,139.99,937,2087,2
18.32,3.856,140.24,945,2088,2
18.43,3.881,140.49,945,2089,2
18.51,3.901,140.69,945,2089,2
18.61,3.924,140.93,937,2090,2
18.71,3.950,141.19,944,2090,2
18.82,3.973,141.42,938,2091,2
18.92,4.000,141.69,944,2092,2
19.02,4.024,141.93,945,2093,2
19.12,4.048,142.17,945,2093,2
19.23,4.072,142.42,938,2094,2
19.31,4.092,142.62,945,2095,2
19.41,4.117,142.87,945,2095,2
19.52,4.142,143.12,938,2096,2
19.62,4.167,143.37,945,2097,2
19.86,4.225,143.96,945,2097,2
19.86,4.225,143.96,938,2097,2
19.92,4.240,144.11,938,2100,2
20.02,4.265,144.36,944,2100,2
20.11,4.284,144.56,939,2100,2
20.21,4.309,144.81,937,2101,2
20.31,4.333,145.05,946,2101,2
20.42,4.359,145.31,938,2102,2
20.52,4.383,145.55,945,2103,2
20.62,4.408,145.80,946,2104,2
