# MISSION PROFILE DATA
# Timestamp: 2026-06-22 14:02:49
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Arrival Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.004,101.36,815,1560,2
0.00,0.003,101.35,840,1616,2
0.08,0.005,101.38,838,1656,2
0.18,0.009,101.41,838,1684,2
0.28,0.012,101.45,838,1704,2
0.39,0.017,101.49,839,1718,2
0.60,0.026,101.59,838,1728,2
0.76,0.039,101.72,839,1736,2
0.76,0.039,101.72,838,1741,2
0.78,0.041,101.74,839,1746,2
0.88,0.049,101.81,838,1748,2
0.99,0.057,101.90,838,1751,2
1.09,0.067,102.00,839,1753,2
1.19,0.077,102.10,839,1756,2
1.29,0.087,102.20,839,1758,2
1.40,0.097,102.31,839,1759,2
1.53,0.108,102.42,839,1761,2
1.73,0.136,102.70,839,1762,2
1.73,0.138,102.72,840,1762,2
1.79,0.146,102.80,806,1767,2
1.89,0.160,102.94,839,1768,2
1.99,0.173,103.07,840,1770,2
2.10,0.190,103.24,840,1771,2
2.20,0.204,103.38,838,1774,2
2.28,0.218,103.53,839,1775,2
2.39,0.234,103.68,839,1777,2
2.62,0.271,104.06,839,1779,2
2.74,0.293,104.28,838,1778,2
2.74,0.294,104.29,837,1785,2
2.78,0.300,104.35,839,1788,2
2.88,0.318,104.54,838,1787,2
2.99,0.337,104.72,838,1790,2
3.09,0.356,104.92,838,1792,2
3.20,0.377,105.13,840,1795,2
3.38,0.412,105.49,839,1797,2
3.39,0.413,105.49,838,1796,2
3.49,0.431,105.68,838,1802,2
3.59,0.453,105.90,838,1804,2
3.69,0.473,106.10,838,1807,2
3.80,0.495,106.32,838,1809,2
3.90,0.515,106.52,839,1812,2
3.99,0.534,106.71,837,1814,2
4.09,0.555,106.92,837,1817,2
4.19,0.576,107.14,838,1819,2
4.29,0.599,107.37,837,1822,2
4.40,0.622,107.60,837,1825,2
4.50,0.644,107.82,836,1828,2
4.59,0.663,108.01,836,1830,2
4.69,0.686,108.24,837,1832,2
4.79,0.708,108.47,837,1835,2
4.89,0.732,108.71,837,1838,2
5.00,0.756,108.95,837,1841,2
5.10,0.778,109.17,837,1844,2
5.20,0.803,109.43,837,1847,2
5.29,0.821,109.61,837,1850,2
5.39,0.844,109.84,837,1851,2
5.49,0.869,110.09,837,1854,2
5.64,0.903,110.43,836,1858,2
5.70,0.918,110.59,837,1862,2
5.80,0.942,110.83,836,1863,2
5.89,0.961,111.02,836,1866,2
5.99,0.986,111.27,836,1868,2
6.09,1.011,111.52,837,1872,2
6.19,1.034,111.76,836,1875,2
6.30,1.059,112.01,836,1877,2
6.40,1.084,112.26,836,1881,2
6.50,1.109,112.51,836,1884,2
6.59,1.129,112.72,836,1887,2
6.69,1.153,112.96,837,1889,2
6.79,1.179,113.22,837,1892,2
6.90,1.204,113.48,836,1895,2
7.00,1.229,113.73,837,1898,2
7.10,1.253,113.97,836,1901,2
7.19,1.274,114.18,836,1904,2
7.29,1.300,114.44,835,1906,2
7.39,1.325,114.70,835,1910,2
7.50,1.350,114.95,836,1913,2
7.66,1.389,115.34,837,1916,2
7.70,1.400,115.45,836,1921,2
7.80,1.426,115.71,836,1921,2
7.89,1.446,115.92,805,1925,2
7.99,1.472,116.18,836,1927,2
8.09,1.497,116.43,836,1930,2
8.20,1.523,116.69,837,1933,2
8.30,1.549,116.96,836,1936,2
8.40,1.574,117.21,836,1940,2
8.49,1.594,117.41,836,1943,2
8.59,1.621,117.68,836,1945,2
8.69,1.646,117.94,836,1948,2
8.80,1.672,118.20,836,1951,2
9.06,1.737,118.86,836,1954,2
