# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:12:50
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=1200.00, I=150.00, D=600.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.125 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.080,1759,1750
1.00,0.210,1531,1250
2.01,0.280,1336,1250
3.02,0.270,1263,1250
4.03,0.300,1263,1250
5.04,0.300,1264,1250
6.04,0.300,1264,1250
7.05,0.310,1264,1250
8.06,0.330,1264,1250
9.07,0.350,1264,1250
10.08,0.380,1265,1250
11.09,0.400,1264,1250
12.10,0.410,1264,1250
13.11,0.410,1264,1250
14.11,0.410,1265,1250
15.12,0.400,1265,1250
16.13,0.390,1576,2938
17.13,0.360,1962,3037
18.13,0.330,2367,3104
19.13,0.290,2758,3216
20.14,0.310,3071,3352
21.14,0.290,3346,3453
22.14,0.290,3549,3567
23.14,0.300,3629,3694
24.15,0.290,3746,3798
25.16,0.290,3781,3798
26.17,0.290,3808,3798
27.18,0.270,3808,3798
28.19,0.140,3808,3798
