# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:43:10
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=800.00, I=50.00, D=800.00
# Neutral ADC: 1600
# Bounds: 0 to 4095
# Depth Offset: -0.114 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.070,1610,1600
1.01,0.150,1234,800
2.02,0.220,916,800
3.03,0.270,810,800
4.03,0.290,809,800
5.04,0.330,809,800
6.05,0.370,809,800
7.06,0.410,809,800
8.06,0.450,810,800
9.07,0.500,810,800
10.08,0.540,810,800
11.09,0.580,810,800
12.10,0.630,810,800
13.11,0.690,810,800
14.12,0.740,810,800
15.12,0.810,810,800
16.13,0.870,810,800
17.14,0.950,810,800
18.15,1.030,810,800
19.16,1.110,809,800
20.17,1.210,810,800
21.18,1.310,810,800
22.18,1.420,810,827
23.19,1.540,864,939
24.19,1.670,973,1043
25.19,1.810,1092,1165
26.19,1.960,1229,1291
27.20,2.110,1335,1396
28.20,2.270,1446,1506
29.20,2.430,1562,1628
30.21,2.590,1678,1754
31.21,2.740,1796,1883
32.21,2.890,1922,2013
33.21,3.040,2048,2150
34.21,3.180,2176,2291
35.22,3.310,2302,2423
36.22,3.430,2435,2562
37.22,3.540,2557,2686
38.22,3.640,2678,2804
39.22,3.650,2715,2786
40.22,3.630,2753,2822
41.23,3.600,2803,2859
42.23,3.570,2840,2882
43.23,3.540,2867,2905
44.23,3.500,2893,2919
45.23,3.450,2886,2926
46.24,3.400,2897,2924
47.24,3.340,2899,2920
48.24,3.280,2889,2906
49.25,3.220,2854,2891
50.25,3.150,2855,2868
51.25,3.080,2855,2845
52.26,3.010,2854,2809
53.26,2.940,2808,2772
54.27,2.860,2769,2736
55.27,2.790,2731,2698
56.27,2.720,2709,2655
57.28,2.660,2594,2612
58.28,2.600,2588,2581
59.28,2.540,2588,2540
60.29,2.490,2493,2508
61.29,2.450,2491,2476
62.30,2.410,2491,2452
63.30,2.380,2452,2427
64.30,2.360,2452,2403
65.31,2.340,2364,2389
66.31,2.330,2355,2381
67.31,2.340,2356,2389
68.32,2.350,2355,2398
69.32,2.370,2385,2417
70.32,2.400,2417,2441
71.33,2.440,2443,2479
72.33,2.490,2469,2523
73.33,2.540,2532,2569
74.34,2.600,2575,2625
75.34,2.670,2639,2683
76.35,2.730,2705,2750
77.35,2.800,2778,2818
78.35,2.870,2847,2887
79.35,2.940,2908,2968
80.35,3.010,2983,3040
81.35,3.070,3050,3112
82.35,3.130,3131,3182
83.35,3.180,3207,3254
84.35,3.220,3279,3320
85.36,3.260,3342,3376
86.36,3.280,3383,3427
87.36,3.300,3433,3479
88.36,3.310,3484,3512
89.37,3.310,3505,3545
90.37,3.290,3524,3568
91.37,3.270,3536,3582
92.38,3.240,3559,3584
93.38,3.200,3550,3576
94.38,3.150,3524,3558
95.38,3.090,3523,3539
96.39,3.020,3523,3511
97.39,2.950,3514,3474
98.40,2.870,3415,3427
99.40,2.790,3415,3379
100.41,2.710,3316,3326
101.41,2.630,3307,3270
102.41,2.550,3199,3213
103.42,2.470,3186,3154
104.42,2.400,3137,3090
105.42,2.330,3025,3036
106.43,2.260,3017,2969
107.43,2.200,2944,2917
108.43,2.140,2897,2861
109.43,2.100,2840,2803
110.44,2.060,2801,2760
111.44,2.030,2700,2718
112.45,2.000,2698,2682
113.45,1.990,2348,1193
114.45,2.000,1749,1218
115.46,2.050,1346,1262
116.46,2.130,1288,1341
117.46,2.260,1390,1461
118.46,2.420,1508,1609
119.46,2.610,1643,1779
120.47,2.810,1800,1963
121.47,2.990,1932,2074
122.47,3.150,2083,2241
123.47,3.320,2244,2423
124.48,3.490,2394,2611
125.48,3.660,2564,2797
126.48,3.660,2625,2701
127.48,3.650,2678,2768
128.48,3.670,2747,2864
129.49,3.690,2822,2909
130.49,3.680,2881,2959
131.49,3.680,2943,3023
132.49,3.690,3002,3086
133.50,3.670,3052,3135
134.50,3.670,3116,3189
135.50,3.670,3181,3239
