# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:40:08
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=28.00, I=0.05, D=12.50
# Neutral ADC: 1609
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3871,1445,2
0.14,0.001,101.33,3860,1473,2
0.15,0.000,101.33,3810,1493,2
0.27,-0.000,101.32,3755,1506,2
0.46,-0.000,101.32,3702,1516,2
0.46,-0.000,101.32,3650,1523,2
0.55,-0.000,101.32,3600,1527,2
0.65,-0.001,101.32,3559,1531,2
0.75,-0.000,101.32,3511,1533,2
0.86,0.000,101.33,3462,1535,2
1.04,-0.000,101.32,3414,1536,2
1.05,0.000,101.33,3365,1537,2
1.16,-0.000,101.32,3318,1537,2
1.33,0.000,101.33,3273,1538,2
1.35,0.001,101.33,3221,1538,2
1.45,0.000,101.33,3172,1538,2
1.55,0.001,101.33,3120,1538,2
1.70,-0.000,101.32,3072,1538,2
1.86,0.000,101.33,3022,1538,2
1.87,-0.000,101.32,2977,1538,2
1.95,-0.000,101.32,2931,1538,2
2.05,-0.000,101.32,2889,1538,2
2.15,-0.000,101.32,2848,1538,2
2.29,-0.000,101.32,2807,1538,2
2.43,0.001,101.33,2764,1538,2
2.45,0.000,101.33,2719,1539,2
2.55,0.001,101.33,2672,1538,2
2.65,-0.001,101.32,2623,1539,2
2.77,-0.000,101.32,2575,1538,2
2.94,0.001,101.33,2533,1538,2
2.95,0.000,101.33,2488,1539,2
3.05,-0.000,101.32,2440,1538,2
3.15,-0.000,101.32,2394,1538,2
3.26,0.000,101.33,2346,1538,2
3.43,0.000,101.33,2298,1538,2
3.45,-0.001,101.32,2249,1538,2
3.55,-0.001,101.32,2200,1538,2
3.65,0.000,101.33,2152,1538,2
3.78,0.000,101.33,2103,1539,2
3.97,0.000,101.33,2052,1539,2
3.97,0.001,101.34,2002,1539,2
4.05,-0.000,101.32,1953,1539,2
4.15,0.000,101.33,1906,1538,2
4.31,-0.000,101.32,1858,1538,2
4.36,0.001,101.33,1812,1538,2
4.49,-0.001,101.32,1765,1539,2
4.55,-0.000,101.32,1718,1538,2
4.70,0.000,101.33,1674,1539,2
4.75,-0.001,101.32,1636,1539,2
4.87,-0.001,101.32,1600,1538,2
4.95,-0.000,101.32,1566,1538,2
5.05,-0.000,101.32,1538,1539,2
5.15,-0.001,101.32,1528,1539,2
5.29,0.000,101.33,1525,1538,2
5.44,0.001,101.34,1526,1539,2
5.45,-0.000,101.32,1525,1539,2
5.55,0.001,101.33,1525,1538,2
5.65,0.001,101.34,1525,1539,2
5.78,0.002,101.35,1526,1539,2
5.97,0.003,101.36,1526,1539,2
5.97,0.002,101.35,1525,1539,2
6.05,0.003,101.36,1525,1539,2
6.18,0.004,101.36,1525,1539,2
6.37,0.006,101.38,1526,1539,2
6.37,0.004,101.37,1526,1539,2
6.45,0.006,101.38,1526,1539,2
6.55,0.007,101.39,1526,1539,2
6.65,0.007,101.40,1526,1539,2
6.78,0.009,101.41,1526,1539,2
6.96,0.010,101.43,1527,1539,2
6.96,0.010,101.43,1528,1539,2
7.05,0.011,101.44,1527,1539,2
7.15,0.012,101.45,1527,1539,2
7.25,0.013,101.46,1527,1539,2
7.38,0.014,101.47,1528,1539,2
7.53,0.016,101.48,1527,1539,2
7.55,0.016,101.49,1527,1539,2
7.72,0.020,101.53,1527,1539,2
7.77,0.019,101.52,1527,1539,2
7.92,0.021,101.54,1526,1539,2
7.95,0.022,101.55,1527,1539,2
8.05,0.024,101.57,1527,1539,2
8.15,0.026,101.58,1528,1539,2
8.33,0.028,101.61,1528,1539,2
