# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:32:42
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=1500.00, I=100.00, D=600.00
# Neutral ADC: 1600
# Bounds: 0 to 4095
# Depth Offset: -0.127 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.270,1642,1600
1.00,0.320,1377,1200
2.00,0.380,1212,1200
3.01,0.430,1211,1200
4.02,0.470,1211,1200
5.03,0.510,1211,1200
6.04,0.550,1211,1200
7.05,0.580,1211,1200
8.05,0.610,1211,1200
9.06,0.640,1211,1200
10.07,0.660,1211,1200
11.08,0.690,1211,1200
12.09,0.720,1211,1200
13.10,0.750,1211,1200
14.11,0.780,1211,1200
15.12,0.810,1210,1200
16.12,0.840,1211,1200
17.14,0.880,1211,1200
18.14,0.920,1211,1200
19.15,0.960,1211,1200
20.16,1.010,1211,1200
21.17,1.060,1210,1200
22.18,1.110,1211,1200
23.19,1.170,1211,1200
24.19,1.230,1211,1200
25.20,1.300,1211,1200
26.21,1.380,1211,1200
27.22,1.460,1211,1200
28.23,1.550,1211,1200
29.24,1.640,1210,1200
30.25,1.740,1210,1200
31.26,1.860,1210,1200
32.27,1.980,1210,1200
33.27,2.110,1051,1055
34.27,2.250,1158,1253
35.27,2.420,1317,1487
36.27,2.590,1518,1753
37.27,2.760,1737,2031
38.27,2.930,1984,2322
39.27,3.100,2263,2619
40.28,3.260,2545,2911
41.28,3.390,2804,3187
42.28,3.510,3065,3446
43.29,3.600,3358,3672
44.29,3.660,3585,3856
45.29,3.650,3787,3917
46.29,3.610,3923,3943
47.29,3.530,3894,3916
48.29,3.430,3873,3852
49.29,3.310,3782,3748
50.29,3.180,3655,3611
51.30,3.030,3524,3452
52.30,2.880,3343,3272
53.30,2.730,3166,3080
54.30,2.590,2981,2881
55.30,2.450,2771,2686
56.30,2.330,2584,2494
57.31,2.220,2369,2315
58.31,2.130,2218,2151
59.31,2.050,2065,2006
60.31,1.990,1923,1200
61.32,1.960,1454,1200
62.33,1.970,1208,1200
63.34,2.010,1167,884
64.34,2.080,975,979
65.34,2.200,1042,1139
66.35,2.350,1198,1362
67.35,2.520,1391,1628
68.35,2.720,1613,1941
69.35,2.920,1881,2279
70.35,3.130,2192,2647
71.35,3.330,2515,3026
72.35,3.530,2843,3398
73.35,3.680,3203,3569
74.36,3.640,3437,3670
75.36,3.610,3615,3728
76.36,3.570,3753,3778
77.36,3.510,3749,3789
78.36,3.450,3744,3780
79.36,3.370,3724,3748
80.36,3.280,3724,3692
81.36,3.190,3660,3617
82.37,3.080,3537,3522
83.37,2.980,3460,3414
84.37,2.870,3330,3292
85.38,2.770,3221,3172
86.38,2.670,3087,3051
87.38,2.570,2993,2926
88.38,2.490,2882,2804
89.38,2.420,2768,2696
90.39,2.350,2635,2600
91.39,2.310,2580,2516
92.39,2.270,2469,2458
93.39,2.260,2433,2420
94.40,2.260,2434,2407
95.40,2.270,2433,2413
96.40,2.300,2434,2443
97.41,2.350,2455,2505
98.41,2.410,2536,2588
99.41,2.470,2624,2690
100.41,2.550,2726,2812
101.42,2.630,2842,2942
102.42,2.720,2959,3087
103.42,2.800,3090,3236
104.42,2.880,3242,3387
105.42,2.950,3384,3529
106.42,3.010,3520,3662
107.42,3.060,3665,3782
108.42,3.090,3791,3878
109.42,3.110,3892,3948
110.42,3.100,3949,3993
111.42,3.080,3979,4006
112.42,3.040,3947,3986
113.43,2.980,3922,3939
114.44,2.900,3922,3862
115.44,2.820,3829,3762
116.44,2.720,3719,3645
117.44,2.620,3554,3504
118.44,2.520,3412,3358
119.45,2.420,3265,3208
120.45,2.330,3117,3064
121.45,2.240,2980,2922
122.45,2.170,2841,2788
123.45,2.110,2718,2663
124.45,2.060,2571,2559
125.46,2.030,2537,2485
126.46,2.020,2434,2423
127.46,1.990,2397,1200
128.47,1.600,1808,1200
129.48,0.950,1403,1200
130.49,0.290,1210,1200
131.50,0.010,1210,1200
132.51,0.110,1210,1200
133.52,0.060,1210,1200
134.53,0.010,1210,1200
135.53,0.090,1210,1200
136.54,-0.040,1210,1200
137.55,-0.040,1210,1200
138.56,-0.040,1209,1200
139.57,-0.040,1209,1200
140.58,-0.040,1209,1200
141.59,-0.040,1209,1200
142.59,-0.040,1209,1200
143.60,-0.040,1209,1200
144.61,-0.040,1209,1200
145.62,-0.040,1209,1200
146.63,-0.040,1209,1200
147.64,-0.040,1210,1200
148.65,-0.040,1209,1200
149.66,-0.040,1209,1200
150.66,-0.040,1209,1200
151.67,-0.040,1209,1200
