# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:09:53
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=45.00, I=0.00, D=0.00
# Neutral ADC: 1614
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,-0.001,101.31,3915,1491
0.44,0.001,101.33,3808,1538
0.44,0.002,101.35,3754,1545
0.44,0.003,101.35,3900,1511
0.44,0.001,101.34,3862,1526
0.59,-0.003,101.30,3650,1555
0.60,0.002,101.35,3700,1551
0.83,0.002,101.34,3558,1559
0.86,0.000,101.33,3599,1557
0.92,0.005,101.38,3512,1560
1.07,0.002,101.34,3465,1562
1.21,0.001,101.34,3371,1562
1.21,0.002,101.35,3419,1562
1.33,-0.001,101.32,3323,1563
1.74,-0.001,101.31,3275,1563
1.74,0.005,101.37,3174,1563
1.74,-0.002,101.30,3123,1563
1.91,-0.001,101.32,3024,1563
1.92,-0.000,101.32,3072,1563
2.07,0.002,101.34,2976,1563
2.08,0.001,101.34,2931,1564
2.42,0.002,101.35,2890,1564
2.42,0.004,101.37,2848,1564
2.43,0.004,101.37,2806,1564
2.53,0.002,101.34,2763,1564
2.59,0.001,101.34,2718,1564
2.78,0.000,101.33,2621,1564
2.78,-0.001,101.32,2670,1563
2.92,-0.001,101.32,2574,1563
2.99,-0.001,101.32,2534,1563
3.18,-0.004,101.29,2440,1563
3.18,-0.001,101.31,2488,1563
3.45,-0.000,101.32,2345,1563
3.45,0.002,101.35,2391,1563
3.52,-0.000,101.32,2296,1564
4.02,-0.002,101.31,2248,1563
4.03,0.002,101.34,2197,1563
4.03,0.001,101.33,2150,1563
4.11,-0.000,101.32,2099,1563
4.14,0.000,101.33,2001,1563
4.30,0.001,101.34,1954,1563
4.48,0.001,101.34,1812,1564
4.48,0.001,101.34,1859,1564
4.73,-0.001,101.32,1719,1564
4.74,-0.003,101.30,1765,1564
4.95,-0.002,101.31,1641,1563
4.95,0.001,101.34,1676,1563
5.13,0.002,101.34,1612,1564
5.14,0.001,101.33,1574,1564
5.40,0.001,101.33,1557,1564
5.41,0.001,101.34,1556,1564
5.51,-0.000,101.32,1555,1564
5.58,0.001,101.33,1555,1563
5.88,0.003,101.36,1554,1564
5.88,0.000,101.33,1555,1564
5.98,0.003,101.36,1554,1563
6.08,0.003,101.35,1553,1564
6.18,0.002,101.35,1555,1564
6.28,-0.000,101.32,1553,1564
6.48,0.006,101.38,1554,1563
6.49,0.002,101.35,1554,1563
6.77,0.004,101.36,1554,1564
6.77,0.006,101.39,1553,1564
7.12,0.011,101.43,1554,1564
7.13,0.006,101.38,1555,1564
7.17,0.007,101.39,1554,1564
7.17,0.007,101.40,1554,1564
7.40,0.010,101.42,1553,1564
7.40,0.010,101.42,1554,1564
7.59,0.010,101.43,1553,1564
7.71,0.012,101.44,1554,1564
7.73,0.012,101.45,1554,1564
7.73,0.012,101.44,1554,1564
7.79,0.014,101.47,1553,1564
7.96,0.009,101.42,1554,1564
7.99,0.014,101.46,1554,1564
8.11,0.015,101.47,1554,1564
8.19,0.018,101.50,1554,1564
8.32,0.015,101.48,1554,1564
8.50,0.020,101.53,1553,1564
8.50,0.019,101.51,1554,1564
8.68,0.020,101.53,1554,1564
8.68,0.023,101.56,1554,1564
8.82,0.024,101.57,1554,1564
9.04,0.027,101.60,1555,1564
9.06,0.030,101.63,1554,1564
9.18,0.027,101.59,1555,1564
9.19,0.031,101.64,1554,1564
9.61,0.037,101.70,1554,1564
9.64,0.031,101.63,1554,1564
9.66,0.032,101.65,1554,1564
9.88,0.040,101.73,1554,1564
9.88,0.041,101.74,1554,1564
10.21,0.045,101.78,1554,1565
10.21,0.045,101.78,1555,1565
10.21,0.045,101.78,1555,1564
10.21,0.043,101.76,1554,1564
10.44,0.045,101.78,1554,1564
10.48,0.043,101.76,1555,1564
10.52,0.052,101.85,1554,1564
10.83,0.057,101.91,1555,1565
10.83,0.056,101.89,1554,1565
10.88,0.059,101.92,1554,1565
11.02,0.057,101.90,1554,1565
11.17,0.059,101.92,1555,1565
11.19,0.061,101.94,1555,1565
11.33,0.063,101.96,1554,1565
11.49,0.066,101.99,1554,1565
11.49,0.065,101.99,1554,1565
11.70,0.074,102.08,1554,1565
11.70,0.075,102.08,1554,1565
11.88,0.076,102.09,1555,1565
11.89,0.078,102.12,1553,1565
12.04,0.082,102.16,1555,1565
12.09,0.081,102.14,1553,1565
12.20,0.085,102.18,1554,1565
12.37,0.090,102.23,1554,1565
12.39,0.090,102.23,1554,1566
12.53,0.097,102.30,1554,1566
12.69,0.092,102.26,1553,1566
12.69,0.095,102.29,1554,1566
12.89,0.099,102.33,1554,1565
13.15,0.109,102.43,1554,1566
13.17,0.110,102.44,1553,1566
13.30,0.113,102.46,1554,1566
13.31,0.110,102.44,1554,1566
13.69,0.121,102.54,1555,1566
13.69,0.123,102.56,1554,1566
13.69,0.122,102.56,1555,1566
13.70,0.123,102.57,1555,1566
13.83,0.125,102.59,1554,1566
13.89,0.129,102.62,1554,1566
14.05,0.129,102.63,1555,1566
14.09,0.133,102.67,1553,1566
14.30,0.139,102.73,1554,1566
14.31,0.143,102.76,1555,1566
14.76,0.147,102.81,1553,1567
14.76,0.151,102.85,1554,1567
14.77,0.152,102.86,1554,1567
14.77,0.151,102.85,1554,1567
14.96,0.157,102.91,1554,1567
14.99,0.159,102.93,1554,1567
15.11,0.162,102.96,1554,1567
15.22,0.170,103.04,1554,1567
15.29,0.169,103.03,1554,1567
15.43,0.171,103.05,1553,1567
15.58,0.180,103.14,1554,1567
15.59,0.180,103.15,1553,1568
15.71,0.184,103.18,1553,1567
15.89,0.185,103.19,1554,1568
15.89,0.190,103.25,1553,1567
16.21,0.202,103.36,1552,1568
16.22,0.195,103.29,1553,1568
16.22,0.200,103.34,1552,1567
16.53,0.208,103.43,1553,1568
16.53,0.208,103.43,1553,1568
16.53,0.208,103.42,1553,1568
16.65,0.213,103.47,1552,1568
16.87,0.223,103.58,1552,1568
16.89,0.224,103.58,1553,1568
17.02,0.226,103.61,1553,1568
17.09,0.228,103.62,1553,1568
17.25,0.233,103.67,1552,1568
17.36,0.238,103.72,1552,1569
17.57,0.242,103.77,1553,1569
17.71,0.249,103.84,1552,1569
17.94,0.261,103.96,1553,1569
17.99,0.261,103.96,1553,1569
18.11,0.266,104.00,1552,1569
18.31,0.271,104.06,1552,1569
18.31,0.272,104.07,1553,1569
18.62,0.283,104.18,1552,1569
18.69,0.288,104.23,1553,1569
18.69,0.287,104.22,1553,1570
18.86,0.292,104.27,1553,1570
18.91,0.295,104.30,1552,1570
19.08,0.301,104.36,1553,1570
19.09,0.304,104.39,1553,1570
19.19,0.302,104.37,1552,1570
19.35,0.311,104.46,1552,1570
19.41,0.316,104.52,1552,1570
19.50,0.317,104.53,1552,1570
19.71,0.323,104.59,1552,1570
19.71,0.324,104.60,1552,1570
20.21,0.347,104.83,1553,1570
20.21,0.346,104.81,1553,1570
20.22,0.345,104.81,1553,1570
20.22,0.348,104.83,1553,1570
20.34,0.352,104.88,1553,1571
20.41,0.357,104.93,1552,1571
20.64,0.366,105.02,1552,1571
20.65,0.365,105.01,1553,1571
21.00,0.381,105.17,1552,1571
21.01,0.380,105.16,1552,1571
21.02,0.377,105.13,1553,1571
21.11,0.385,105.21,1552,1571
21.11,0.383,105.19,1553,1572
21.27,0.391,105.27,1553,1572
21.42,0.396,105.32,1552,1572
21.42,0.398,105.34,1553,1572
21.55,0.399,105.35,1552,1572
21.60,0.404,105.41,1553,1572
21.85,0.412,105.48,1553,1572
21.92,0.417,105.53,1553,1572
21.93,0.419,105.55,1553,1572
22.09,0.426,105.62,1553,1572
22.09,0.424,105.61,1553,1572
22.21,0.431,105.68,1553,1572
22.30,0.433,105.70,1552,1573
22.55,0.448,105.85,1553,1573
22.67,0.451,105.88,1552,1573
22.67,0.447,105.84,1553,1572
22.80,0.456,105.93,1553,1573
22.83,0.456,105.93,1552,1573
22.99,0.467,106.03,1552,1573
22.99,0.468,106.05,1553,1573
23.31,0.482,106.19,1553,1573
23.31,0.477,106.14,1553,1573
23.32,0.482,106.19,1552,1573
23.44,0.483,106.20,1553,1574
23.49,0.490,106.27,1553,1574
23.63,0.494,106.31,1553,1574
23.92,0.503,106.41,1553,1574
23.92,0.509,106.46,1553,1574
24.03,0.515,106.52,1554,1574
24.22,0.521,106.58,1553,1574
24.22,0.516,106.54,1553,1574
24.52,0.530,106.68,1553,1574
24.52,0.536,106.74,1553,1574
24.61,0.537,106.74,1552,1575
24.69,0.542,106.80,1552,1575
24.82,0.549,106.86,1552,1575
25.07,0.558,106.95,1553,1575
25.08,0.564,107.01,1552,1575
25.14,0.562,106.99,1552,1576
25.29,0.570,107.08,1552,1575
25.30,0.570,107.07,1552,1575
25.43,0.575,107.13,1553,1575
25.49,0.582,107.20,1553,1575
25.96,0.601,107.39,1553,1576
25.96,0.602,107.40,1553,1575
26.08,0.605,107.43,1553,1576
