# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:48:38
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=30.00, I=0.00, D=0.00
# Neutral ADC: 1609
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,1726,1662,2
0.14,0.001,101.33,1725,1436,2
0.24,0.002,101.34,1706,1466,2
0.31,0.002,101.35,1672,1488,2
0.44,0.003,101.35,1627,1503,2
0.55,0.005,101.38,1596,1514,2
0.61,0.007,101.40,1576,1521,2
0.75,0.009,101.41,1559,1527,2
0.87,0.011,101.44,1544,1530,2
0.92,0.013,101.46,1557,1533,2
1.08,0.017,101.50,1561,1535,2
1.09,0.018,101.50,1561,1536,2
1.20,0.022,101.54,1560,1537,2
1.30,0.025,101.58,1561,1538,2
1.44,0.029,101.62,1560,1539,2
1.57,0.035,101.68,1560,1539,2
1.60,0.036,101.69,1561,1539,2
1.70,0.042,101.75,1560,1540,2
1.80,0.046,101.79,1561,1540,2
1.90,0.051,101.84,1559,1540,2
2.04,0.059,101.92,1560,1540,2
2.10,0.062,101.95,1558,1541,2
2.24,0.071,102.04,1559,1541,2
2.30,0.074,102.08,1559,1541,2
2.41,0.080,102.13,1559,1541,2
2.60,0.094,102.27,1557,1541,2
2.60,0.094,102.27,1557,1541,2
2.70,0.101,102.34,1557,1542,2
2.80,0.108,102.41,1556,1542,2
2.98,0.121,102.55,1556,1542,2
3.04,0.125,102.59,1556,1543,2
3.16,0.135,102.69,1556,1543,2
3.20,0.139,102.73,1555,1543,2
3.35,0.151,102.85,1555,1543,2
3.42,0.157,102.91,1555,1544,2
3.57,0.171,103.05,1555,1544,2
3.60,0.172,103.07,1554,1544,2
3.70,0.182,103.16,1555,1544,2
3.80,0.191,103.25,1555,1545,2
3.90,0.201,103.35,1553,1545,2
4.05,0.215,103.50,1554,1545,2
4.19,0.230,103.65,1553,1546,2
4.20,0.230,103.65,1553,1546,2
4.30,0.242,103.76,1553,1546,2
4.44,0.255,103.90,1553,1546,2
4.57,0.269,104.04,1552,1547,2
4.60,0.273,104.08,1552,1547,2
4.70,0.283,104.18,1552,1547,2
4.80,0.295,104.30,1552,1548,2
4.98,0.314,104.50,1552,1548,2
