# MISSION PROFILE DATA
# Timestamp: 2026-06-25 00:43:31
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=76.80, I=0.80, D=55.00
# Neutral ADC: 2048
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3904,1454,2
0.06,0.000,101.33,3869,1564,2
0.14,0.000,101.33,3813,1652,2
0.25,0.000,101.33,3761,1713,2
0.35,0.000,101.33,3706,1756,2
0.46,-0.000,101.32,3654,1786,2
0.56,0.000,101.33,3602,1807,2
0.71,-0.001,101.32,3560,1821,2
0.75,0.001,101.34,3512,1831,2
0.86,0.000,101.33,3456,1839,2
0.96,-0.000,101.32,3409,1844,2
1.04,0.001,101.33,3363,1847,2
1.15,-0.000,101.32,3311,1850,2
1.25,-0.000,101.32,3260,1851,2
1.36,-0.000,101.32,3205,1853,2
1.48,-0.000,101.32,3154,1853,2
1.59,0.000,101.33,3098,1854,2
1.65,-0.000,101.32,3047,1855,2
1.77,-0.000,101.32,2998,1855,2
1.86,0.001,101.33,2950,1855,2
1.96,0.000,101.33,2904,1855,2
2.05,0.000,101.33,2861,1855,2
2.15,-0.000,101.32,2816,1855,2
2.25,-0.001,101.32,2771,1855,2
2.36,0.000,101.33,2718,1855,2
2.45,0.001,101.33,2671,1855,2
2.70,-0.000,101.32,2619,1856,2
2.70,-0.000,101.32,2570,1856,2
2.76,0.000,101.33,2526,1855,2
2.84,-0.000,101.32,2477,1855,2
2.95,0.000,101.33,2427,1855,2
3.05,0.001,101.33,2377,1855,2
3.15,-0.000,101.32,2325,1856,2
3.26,-0.000,101.32,2276,1855,2
3.36,0.001,101.34,2224,1855,2
3.45,-0.000,101.32,2172,1856,2
3.68,0.000,101.33,2111,1855,2
3.69,0.000,101.33,2068,1855,2
3.75,-0.000,101.32,2027,1855,2
3.85,0.001,101.33,1980,1855,2
3.95,0.000,101.33,1939,1856,2
4.06,0.001,101.33,1899,1855,2
4.16,0.000,101.33,1865,1856,2
4.27,0.001,101.33,1843,1855,2
4.35,0.002,101.34,1841,1856,2
4.46,0.003,101.35,1842,1856,2
4.62,0.003,101.36,1842,1856,2
4.65,0.004,101.36,1842,1856,2
4.83,0.005,101.38,1842,1856,2
4.85,0.006,101.39,1842,1856,2
4.95,0.008,101.40,1842,1856,2
