# MISSION PROFILE DATA
# Timestamp: 2026-06-25 16:45:16
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Deep Tolerance: 0.00 m
# Shallow Tolerance: -- m
# Hold Duration: 30 s
# PID: P=110.00, I=0.00, D=1300.00
# Neutral ADC: 1832
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.001,101.34,3894,1550,2
0.12,0.001,101.33,3916,1550,2
0.13,0.000,101.33,3836,1550,2
0.24,-0.001,101.32,3782,1550,2
0.27,-0.000,101.32,3717,1549,2
0.39,0.000,101.33,3669,1549,2
0.44,0.000,101.33,3614,1549,2
0.54,0.000,101.33,3568,1549,2
0.64,0.000,101.33,3517,1549,2
0.75,0.001,101.33,3465,1549,2
0.85,0.001,101.33,3413,1549,2
1.07,-0.001,101.31,3361,1549,2
1.15,0.000,101.33,3297,1548,2
1.28,-0.000,101.32,3252,1548,2
1.29,-0.000,101.32,3197,1548,2
1.35,0.000,101.33,3142,1548,2
1.45,0.001,101.33,3087,1548,2
1.55,0.000,101.33,3031,1548,2
1.66,-0.000,101.32,2970,1547,2
1.74,0.000,101.33,2921,1548,2
1.84,-0.001,101.32,2874,1547,2
2.00,0.000,101.33,2837,1547,2
2.08,0.000,101.33,2789,1547,2
2.23,0.000,101.33,2739,1547,2
2.25,-0.001,101.31,2688,1547,2
2.35,0.001,101.33,2622,1546,2
2.44,-0.000,101.32,2569,1547,2
2.54,-0.000,101.32,2524,1546,2
2.64,-0.001,101.32,2480,1546,2
2.75,-0.001,101.32,2427,1546,2
2.85,0.000,101.33,2374,1546,2
2.96,0.000,101.33,2321,1546,2
3.06,-0.001,101.32,2267,1546,2
3.23,-0.001,101.32,2203,1545,2
3.27,-0.000,101.32,2147,1546,2
3.35,-0.000,101.32,2109,1546,2
3.45,-0.000,101.32,2038,1545,2
3.54,0.000,101.33,1991,1545,2
3.64,-0.000,101.32,1937,1545,2
3.74,-0.000,101.32,1883,1545,2
