# MISSION PROFILE DATA
# Timestamp: 2026-06-18 19:52:59
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.15 m
# Hold Duration: 30 s
# PID: P=120.00, I=0.50, D=25.00
# Neutral ADC: 1600
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,2035,1705,2
0.18,-0.000,101.32,2013,1100,2
0.18,-0.000,101.32,1968,1160,2
0.26,-0.001,101.32,1936,1202,2
0.36,-0.000,101.32,1886,1231,2
0.47,0.000,101.33,1838,1252,2
0.65,0.001,101.34,1793,1266,2
0.67,-0.000,101.32,1743,1276,2
0.76,0.000,101.33,1698,1283,2
0.86,-0.000,101.32,1651,1288,2
0.96,-0.000,101.32,1611,1291,2
1.07,-0.000,101.32,1572,1294,2
1.17,-0.000,101.32,1539,1296,2
1.27,-0.000,101.32,1509,1297,2
1.50,0.001,101.33,1477,1298,2
1.50,0.001,101.33,1451,1298,2
1.66,0.001,101.34,1424,1299,2
1.66,0.001,101.33,1399,1299,2
1.83,0.002,101.34,1375,1299,2
1.87,0.002,101.34,1356,1300,2
1.97,0.004,101.36,1340,1300,2
2.07,0.005,101.37,1322,1300,2
2.18,0.004,101.37,1310,1300,2
2.26,0.006,101.39,1308,1300,2
2.50,0.011,101.43,1308,1300,2
2.50,0.010,101.43,1308,1300,2
2.66,0.013,101.46,1308,1301,2
2.66,0.013,101.46,1308,1301,2
2.76,0.015,101.48,1308,1301,2
2.86,0.019,101.51,1310,1302,2
2.97,0.019,101.52,1308,1302,2
3.07,0.024,101.56,1309,1302,2
3.17,0.026,101.58,1309,1303,2
3.26,0.029,101.61,1309,1303,2
3.50,0.036,101.69,1309,1304,2
3.50,0.036,101.69,1309,1303,2
3.66,0.041,101.74,1310,1305,2
3.77,0.046,101.79,1309,1304,2
3.77,0.047,101.80,1309,1305,2
3.96,0.055,101.88,1309,1306,2
3.96,0.054,101.87,1309,1306,2
4.07,0.059,101.92,1310,1307,2
4.17,0.064,101.97,1310,1308,2
4.27,0.069,102.02,1310,1308,2
4.50,0.079,102.13,1310,1309,2
4.50,0.079,102.12,1309,1309,2
4.66,0.087,102.20,1310,1310,2
4.66,0.087,102.21,1310,1310,2
4.76,0.093,102.26,1310,1311,2
4.87,0.098,102.32,1310,1312,2
4.97,0.104,102.37,1310,1313,2
5.07,0.111,102.44,1310,1313,2
5.18,0.116,102.50,1310,1314,2
5.26,0.120,102.53,1310,1315,2
5.50,0.135,102.69,1310,1315,2
5.50,0.135,102.69,1311,1315,2
5.60,0.142,102.75,1310,1317,2
5.76,0.152,102.86,1311,1318,2
5.76,0.152,102.86,1311,1318,2
5.87,0.160,102.94,1310,1319,2
5.97,0.166,103.00,1311,1320,2
6.07,0.173,103.07,1311,1321,2
6.18,0.181,103.15,1311,1322,2
6.28,0.187,103.22,1312,1323,2
6.50,0.204,103.38,1311,1324,2
6.51,0.205,103.39,1311,1323,2
6.65,0.215,103.50,1311,1326,2
6.67,0.218,103.52,1311,1328,2
6.78,0.226,103.60,1311,1328,2
6.88,0.234,103.69,1311,1329,2
6.96,0.239,103.74,1312,1330,2
7.06,0.249,103.83,1312,1330,2
7.17,0.256,103.91,1310,1331,2
7.27,0.265,103.99,1311,1332,2
7.47,0.281,104.16,1311,1333,2
7.47,0.281,104.16,1312,1333,2
7.60,0.294,104.29,1312,1335,2
7.67,0.299,104.34,1311,1337,2
7.77,0.307,104.42,1312,1338,2
7.87,0.317,104.52,1312,1338,2
7.98,0.326,104.62,1313,1340,2
8.08,0.335,104.71,1312,1341,2
8.16,0.343,104.78,1312,1342,2
8.27,0.350,104.86,1313,1343,2
8.49,0.371,105.07,1311,1344,2
8.49,0.373,105.09,1312,1343,2
8.63,0.384,105.20,1312,1347,2
8.72,0.393,105.29,1312,1348,2
8.87,0.408,105.44,1312,1349,2
8.87,0.408,105.44,1313,1348,2
8.97,0.419,105.55,1312,1351,2
9.08,0.428,105.64,1313,1352,2
