# MISSION PROFILE DATA
# Timestamp: 2026-06-25 11:52:35
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=32.09, I=1.87, D=114.24
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,3912,912,2
0.09,0.001,101.33,3897,1170,2
0.19,-0.000,101.32,3842,1350,2
0.30,0.001,101.33,3784,1475,2
0.39,0.000,101.33,3727,1564,2
0.50,0.000,101.33,3669,1625,2
0.59,0.000,101.33,3609,1668,2
0.69,-0.000,101.32,3566,1699,2
0.91,0.001,101.33,3515,1720,2
0.91,-0.000,101.32,3461,1735,2
0.99,0.001,101.33,3406,1745,2
1.09,-0.001,101.32,3352,1753,2
1.20,0.000,101.33,3296,1757,2
1.30,-0.001,101.32,3240,1761,2
1.41,0.000,101.33,3181,1763,2
1.49,0.001,101.33,3125,1765,2
1.59,0.000,101.33,3067,1767,2
1.69,0.000,101.33,3011,1767,2
1.80,-0.000,101.32,2959,1768,2
1.90,-0.000,101.32,2908,1768,2
2.01,0.000,101.33,2861,1769,2
2.09,0.000,101.33,2813,1769,2
2.19,0.000,101.33,2760,1769,2
2.30,0.000,101.33,2709,1769,2
2.40,-0.000,101.32,2654,1769,2
2.50,-0.000,101.32,2598,1769,2
2.61,0.000,101.33,2548,1769,2
2.69,0.000,101.33,2497,1769,2
2.79,0.001,101.33,2442,1769,2
2.90,-0.000,101.32,2389,1770,2
3.00,-0.001,101.32,2334,1769,2
3.10,-0.000,101.32,2278,1769,2
3.21,-0.001,101.32,2222,1769,2
3.29,-0.000,101.32,2164,1769,2
3.40,0.000,101.33,2108,1769,2
3.60,0.000,101.33,2051,1769,2
3.60,-0.000,101.32,1995,1769,2
3.70,-0.001,101.32,1941,1769,2
3.80,-0.000,101.32,1892,1769,2
3.91,-0.000,101.32,1846,1769,2
3.99,-0.001,101.32,1805,1769,2
4.09,0.000,101.33,1768,1769,2
4.20,-0.000,101.32,1740,1769,2
4.30,-0.000,101.32,1727,1769,2
4.44,0.001,101.33,1723,1769,2
4.57,0.002,101.34,1723,1770,2
4.61,0.001,101.34,1722,1770,2
4.71,0.001,101.34,1722,1769,2
4.81,0.003,101.36,1723,1769,2
4.89,0.004,101.36,1723,1770,2
5.00,0.003,101.36,1723,1770,2
5.10,0.005,101.37,1723,1770,2
5.21,0.005,101.38,1723,1770,2
5.31,0.006,101.39,1723,1770,2
5.39,0.007,101.40,1722,1770,2
5.50,0.008,101.41,1723,1770,2
5.60,0.009,101.42,1723,1770,2
5.78,0.012,101.45,1723,1771,2
5.96,0.012,101.44,1723,1771,2
5.96,0.014,101.47,1722,1771,2
6.00,0.016,101.48,1723,1771,2
6.10,0.016,101.49,1723,1772,2
6.21,0.018,101.51,1722,1771,2
6.31,0.019,101.51,1723,1771,2
6.39,0.022,101.54,1722,1771,2
6.50,0.023,101.56,1723,1772,2
6.60,0.026,101.59,1723,1772,2
6.77,0.029,101.62,1723,1772,2
6.94,0.032,101.65,1723,1773,2
6.94,0.032,101.65,1723,1772,2
7.00,0.033,101.65,1722,1773,2
7.10,0.036,101.69,1727,1772,2
7.20,0.038,101.71,1746,1773,2
7.31,0.040,101.73,1753,1773,2
7.41,0.043,101.76,1761,1773,2
7.49,0.044,101.77,1760,1773,2
7.60,0.048,101.81,1761,1773,2
7.79,0.052,101.85,1760,1774,2
7.90,0.055,101.88,1760,1774,2
7.90,0.056,101.89,1761,1773,2
8.00,0.058,101.91,1760,1774,2
8.11,0.060,101.93,1761,1774,2
8.21,0.063,101.97,1760,1774,2
8.31,0.067,102.00,1760,1774,2
8.40,0.070,102.03,1760,1775,2
8.50,0.072,102.05,1760,1775,2
8.60,0.076,102.09,1761,1775,2
8.82,0.082,102.15,1760,1775,2
8.95,0.085,102.19,1760,1774,2
8.95,0.086,102.19,1760,1776,2
9.01,0.087,102.21,1760,1776,2
9.11,0.091,102.25,1760,1775,2
9.19,0.093,102.26,1760,1776,2
9.30,0.096,102.29,1760,1775,2
9.40,0.100,102.34,1760,1776,2
9.50,0.104,102.37,1761,1776,2
