# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:57:33
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=350.00, I=10.00, D=200.00
# Neutral ADC: 1600
# Bounds: 0 to 4095
# Depth Offset: -0.127 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.110,1608,1600
1.00,0.130,1212,800
2.00,0.260,920,832
3.00,0.330,861,850
4.00,0.360,860,860
5.00,0.400,861,870
6.01,0.420,861,881
7.02,0.440,860,885
8.02,0.460,861,891
9.03,0.480,861,896
10.04,0.490,861,898
11.04,0.500,861,902
12.05,0.500,861,902
13.06,0.510,861,905
14.07,0.510,861,905
15.08,0.510,861,906
16.08,0.520,861,906
17.09,0.520,862,906
18.10,0.520,861,906
19.11,0.520,861,907
20.11,0.520,861,905
21.12,0.520,861,906
22.13,0.510,862,905
23.14,0.520,861,906
24.15,0.520,861,906
25.15,0.520,861,907
26.16,0.520,862,908
27.17,0.520,862,909
28.17,0.530,861,911
29.18,0.530,862,913
30.19,0.540,903,915
31.20,0.550,904,918
32.20,0.550,904,921
33.21,0.570,904,926
34.22,0.580,904,930
35.22,0.590,904,936
36.23,0.610,903,942
37.23,0.630,904,950
38.24,0.650,950,958
39.24,0.670,950,967
40.25,0.700,950,977
41.25,0.730,950,989
42.25,0.770,959,1002
43.26,0.810,993,1017
44.26,0.850,993,1033
45.27,0.900,1120,2987
46.28,0.950,1615,2161
47.28,0.990,2117,2160
48.28,0.990,2576,2170
49.28,0.960,3005,2165
50.28,0.880,3470,2141
51.29,0.750,3942,2097
52.29,0.560,3989,2034
53.29,0.340,3989,1957
54.29,0.310,3990,2020
55.29,0.380,3990,2045
56.29,0.360,3989,2032
57.30,0.280,3990,1999
58.30,0.310,3990,2044
59.31,0.210,3989,1986
