# MISSION PROFILE DATA
# Timestamp: 2026-06-25 15:49:02
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=60.00, I=0.00, D=350.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,1826,1845,2
0.13,0.000,101.33,1825,1770,2
0.25,0.000,101.33,1821,1770,2
0.29,-0.001,101.31,1797,1770,2
0.44,-0.000,101.32,1780,1769,2
0.48,-0.000,101.32,1780,1769,2
0.58,0.000,101.33,1780,1771,2
0.69,0.001,101.33,1780,1770,2
0.79,0.001,101.34,1780,1771,2
0.93,0.002,101.34,1780,1771,2
1.15,0.002,101.34,1780,1772,2
1.15,0.003,101.35,1781,1771,2
1.19,0.003,101.35,1780,1771,2
1.29,0.003,101.36,1780,1772,2
1.38,0.003,101.35,1780,1771,2
1.48,0.005,101.37,1780,1771,2
1.58,0.005,101.37,1780,1773,2
1.69,0.005,101.37,1781,1772,2
1.79,0.006,101.39,1781,1771,2
1.97,0.007,101.39,1781,1772,2
1.99,0.006,101.39,1780,1772,2
2.17,0.008,101.41,1780,1771,2
2.19,0.008,101.41,1780,1771,2
2.29,0.009,101.42,1780,1773,2
2.39,0.011,101.43,1780,1773,2
2.48,0.011,101.44,1781,1774,2
2.58,0.012,101.45,1780,1773,2
2.68,0.013,101.46,1781,1773,2
2.79,0.014,101.47,1780,1774,2
2.96,0.016,101.48,1780,1774,2
3.15,0.018,101.50,1781,1773,2
3.15,0.019,101.51,1780,1774,2
3.19,0.020,101.52,1781,1773,2
3.28,0.020,101.53,1780,1777,2
3.38,0.022,101.55,1780,1775,2
3.48,0.023,101.56,1780,1776,2
3.59,0.024,101.57,1780,1775,2
3.69,0.025,101.58,1781,1775,2
3.79,0.027,101.60,1780,1775,2
3.96,0.028,101.61,1780,1776,2
4.01,0.030,101.62,1780,1774,2
4.15,0.032,101.64,1780,1776,2
4.19,0.032,101.65,1780,1775,2
4.28,0.034,101.66,1780,1776,2
4.38,0.037,101.70,1780,1776,2
4.48,0.038,101.71,1780,1778,2
4.59,0.040,101.73,1780,1777,2
4.69,0.042,101.74,1780,1777,2
4.79,0.043,101.76,1781,1778,2
5.03,0.046,101.79,1781,1777,2
5.03,0.047,101.80,1780,1775,2
5.23,0.051,101.84,1781,1778,2
5.23,0.051,101.84,1781,1776,2
5.29,0.052,101.85,1781,1779,2
