# MISSION PROFILE DATA
# Timestamp: 2026-06-25 01:03:34
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=39.32, I=1.25, D=100.00
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,3853,1226,2
0.12,-0.000,101.32,3862,1001,2
0.13,0.001,101.33,3799,1384,2
0.14,-0.000,101.32,3746,1494,2
0.28,0.001,101.33,3693,1571,2
0.41,-0.000,101.32,3640,1625,2
0.43,0.000,101.33,3591,1663,2
0.53,-0.000,101.32,3550,1689,2
0.64,0.001,101.34,3499,1708,2
0.74,-0.000,101.32,3449,1721,2
0.84,0.001,101.33,3399,1730,2
0.95,-0.001,101.31,3348,1737,2
1.05,-0.000,101.32,3298,1740,2
1.26,-0.000,101.32,3246,1744,2
1.38,0.001,101.33,3194,1746,2
1.38,-0.000,101.32,3140,1748,2
1.44,0.001,101.33,3087,1749,2
1.54,0.001,101.33,3035,1750,2
1.65,0.001,101.34,2981,1750,2
1.73,-0.000,101.32,2937,1751,2
1.83,-0.000,101.32,2892,1750,2
1.94,-0.000,101.32,2849,1751,2
2.04,0.000,101.33,2805,1751,2
2.22,0.001,101.33,2759,1751,2
2.26,-0.001,101.32,2709,1751,2
2.37,-0.001,101.32,2658,1751,2
2.43,-0.001,101.32,2606,1751,2
2.54,0.001,101.34,2558,1751,2
2.64,0.001,101.33,2514,1752,2
2.74,0.000,101.33,2465,1752,2
2.85,0.001,101.34,2414,1751,2
2.95,0.000,101.33,2365,1751,2
3.03,-0.000,101.32,2314,1751,2
3.14,-0.000,101.32,2266,1751,2
3.40,-0.000,101.32,2215,1751,2
3.40,-0.001,101.32,2160,1751,2
3.44,-0.000,101.32,2108,1751,2
3.55,0.000,101.33,2056,1751,2
3.65,0.001,101.33,2001,1751,2
3.75,-0.000,101.32,1960,1752,2
3.84,0.001,101.33,1910,1751,2
4.00,0.001,101.33,1866,1751,2
4.12,-0.000,101.32,1826,1751,2
4.24,0.001,101.33,1788,1751,2
4.39,-0.000,101.32,1753,1751,2
4.39,0.000,101.33,1735,1751,2
4.45,0.000,101.33,1733,1751,2
4.53,0.001,101.33,1734,1751,2
4.64,0.002,101.34,1733,1751,2
4.74,0.001,101.34,1733,1752,2
4.84,0.002,101.34,1733,1751,2
4.95,0.002,101.34,1733,1752,2
5.05,0.002,101.35,1733,1751,2
5.15,0.003,101.36,1734,1751,2
5.24,0.004,101.36,1733,1752,2
5.34,0.004,101.37,1733,1752,2
5.44,0.006,101.39,1733,1752,2
5.55,0.006,101.39,1733,1752,2
5.65,0.009,101.41,1733,1752,2
5.75,0.008,101.41,1733,1753,2
5.84,0.009,101.42,1733,1752,2
5.94,0.012,101.44,1734,1752,2
6.04,0.012,101.45,1733,1753,2
6.15,0.013,101.46,1734,1753,2
6.25,0.016,101.48,1733,1753,2
6.35,0.017,101.49,1734,1753,2
6.44,0.018,101.51,1733,1753,2
6.54,0.019,101.52,1734,1753,2
6.65,0.021,101.53,1733,1753,2
6.75,0.023,101.56,1733,1753,2
6.85,0.024,101.57,1733,1754,2
6.96,0.027,101.59,1734,1754,2
7.04,0.028,101.61,1733,1754,2
7.14,0.030,101.63,1734,1754,2
7.25,0.032,101.65,1734,1754,2
7.35,0.035,101.68,1733,1754,2
7.45,0.037,101.70,1734,1755,2
7.54,0.039,101.72,1733,1755,2
