# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:22:32
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=1500.00, I=100.00, D=600.00
# Neutral ADC: 1650
# Bounds: 0 to 4095
# Depth Offset: -0.127 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.060,1654,1650
1.00,0.190,1403,1250
2.01,0.440,1259,1250
3.02,0.570,1259,1250
4.02,0.650,1259,1250
5.03,0.700,1259,1250
6.04,0.720,1259,1250
7.05,0.730,1259,1250
8.06,0.730,1259,1250
9.07,0.700,1259,1250
10.08,0.670,1259,1250
11.09,0.620,1259,1250
12.10,0.560,1260,1250
13.11,0.500,1259,1250
14.12,0.420,1259,1250
15.12,0.360,1260,1250
16.13,0.330,1260,1250
17.14,0.360,1259,1250
18.15,0.360,1260,1250
19.16,0.350,1259,1250
20.17,0.340,1259,1250
21.18,0.330,1260,1250
22.19,0.310,1260,1250
23.20,0.300,1260,1250
24.21,0.300,1260,1250
25.22,0.300,1260,1250
26.23,0.320,1260,1250
27.24,0.330,1260,1250
28.25,0.330,1260,1250
29.25,0.330,1260,1250
30.26,0.330,1260,1250
31.27,0.180,1260,1250
32.28,0.170,1260,1250
33.29,0.200,1261,1250
34.30,0.170,1260,1250
35.31,0.230,1260,1250
36.32,0.260,1260,1250
37.33,0.310,1260,1250
38.34,0.390,1260,1250
39.34,0.480,1260,1250
40.35,0.540,1261,1250
41.36,0.580,1260,1250
42.37,0.610,1260,1250
43.38,0.620,1260,1250
44.39,0.610,1260,1250
45.40,0.610,1397,3343
46.40,0.580,1881,3409
47.40,0.530,2381,3424
48.41,0.450,2868,3366
49.42,0.320,3392,3242
50.42,0.310,3895,3436
51.43,0.320,3987,3477
52.43,0.280,3958,3504
53.44,0.300,3986,3603
54.45,0.210,3986,3480
55.45,0.180,3978,3549
56.45,0.170,3985,3651
57.46,0.190,3986,3767
58.47,0.210,3988,3834
59.47,0.170,3988,3808
60.48,0.220,3986,4021
61.48,0.220,3988,4071
62.49,0.220,3987,4069
63.50,0.240,3988,4095
64.50,0.230,3988,4095
65.51,0.240,3987,4095
66.52,0.240,3988,4095
67.53,0.250,3987,4095
68.54,0.260,3989,4095
69.54,0.260,3989,4095
70.55,0.270,3985,4095
71.57,0.280,3967,4095
72.58,0.330,3967,4095
73.58,0.540,3983,4095
74.59,0.520,3983,4095
75.60,0.500,3983,4095
76.60,0.520,3983,4095
77.61,0.440,3983,4095
78.62,0.290,3984,4095
79.63,0.320,3983,4095
80.64,0.320,3984,4095
81.65,0.280,3983,4095
82.66,0.300,3983,4095
83.67,0.180,3984,4095
84.67,0.180,3984,4095
