# MISSION PROFILE DATA
# Timestamp: 2026-06-25 15:44:43
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=200.00, I=0.00, D=400.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,1938,1845,2
0.00,-0.000,101.32,1939,1345,2
0.12,-0.002,101.31,1902,1345,2
0.17,0.000,101.33,1848,1345,2
0.30,-0.000,101.32,1795,1345,2
0.36,0.000,101.33,1742,1345,2
0.46,0.000,101.33,1691,1345,2
0.54,0.000,101.33,1643,1345,2
0.65,0.000,101.33,1598,1345,2
0.75,0.001,101.34,1549,1345,2
0.85,0.002,101.35,1517,1346,2
0.97,0.003,101.36,1483,1347,2
1.14,0.005,101.38,1451,1348,2
1.16,0.005,101.37,1422,1347,2
1.25,0.007,101.40,1396,1350,2
1.35,0.009,101.42,1372,1351,2
1.45,0.012,101.45,1353,1353,2
1.56,0.013,101.46,1342,1355,2
1.66,0.016,101.49,1339,1354,2
1.76,0.020,101.53,1339,1356,2
1.85,0.022,101.55,1339,1360,2
1.96,0.026,101.59,1339,1359,2
2.13,0.033,101.66,1338,1362,2
2.15,0.034,101.67,1339,1358,2
2.26,0.038,101.71,1340,1367,2
2.36,0.044,101.76,1339,1368,2
2.46,0.047,101.80,1340,1372,2
2.55,0.053,101.86,1339,1371,2
2.65,0.059,101.92,1339,1374,2
2.75,0.065,101.98,1339,1377,2
2.86,0.071,102.04,1339,1379,2
2.99,0.078,102.11,1339,1381,2
3.15,0.090,102.24,1338,1384,2
3.15,0.091,102.24,1339,1377,2
3.26,0.098,102.31,1339,1391,2
3.36,0.106,102.39,1347,1392,2
3.46,0.112,102.46,1374,1395,2
3.55,0.119,102.53,1377,1395,2
3.65,0.128,102.61,1393,1396,2
3.75,0.137,102.71,1402,1401,2
3.86,0.144,102.78,1404,1404,2
4.01,0.156,102.90,1404,1405,2
4.19,0.174,103.08,1404,1395,2
4.20,0.174,103.08,1403,1406,2
4.26,0.180,103.14,1404,1397,2
4.36,0.189,103.24,1404,1424,2
4.46,0.198,103.32,1404,1424,2
4.55,0.206,103.41,1404,1424,2
4.65,0.216,103.50,1403,1423,2
4.75,0.226,103.61,1404,1426,2
4.86,0.237,103.71,1403,1429,2
4.96,0.246,103.81,1404,1433,2
5.14,0.266,104.01,1404,1433,2
5.16,0.267,104.02,1404,1421,2
5.27,0.278,104.13,1403,1443,2
5.35,0.288,104.23,1404,1445,2
5.45,0.298,104.33,1403,1446,2
5.56,0.310,104.45,1404,1447,2
5.66,0.321,104.57,1404,1451,2
5.76,0.333,104.69,1404,1453,2
5.92,0.345,104.81,1408,1457,2
6.02,0.360,104.96,1431,1460,2
6.15,0.377,105.13,1447,1446,2
6.15,0.375,105.11,1463,1458,2
6.26,0.389,105.25,1465,1466,2
6.36,0.401,105.37,1465,1472,2
6.46,0.412,105.49,1466,1474,2
6.57,0.425,105.61,1466,1475,2
6.65,0.435,105.72,1466,1479,2
6.75,0.447,105.84,1466,1478,2
6.86,0.460,105.97,1465,1481,2
6.99,0.474,106.11,1465,1485,2
7.15,0.496,106.33,1465,1490,2
7.15,0.494,106.31,1466,1475,2
7.25,0.508,106.45,1466,1493,2
7.35,0.520,106.58,1466,1498,2
7.46,0.533,106.71,1465,1499,2
7.56,0.546,106.83,1465,1502,2
7.67,0.558,106.96,1466,1505,2
7.75,0.569,107.07,1465,1507,2
7.86,0.581,107.19,1466,1507,2
7.96,0.595,107.33,1465,1509,2
8.13,0.617,107.55,1466,1515,2
8.15,0.620,107.58,1465,1499,2
8.26,0.632,107.71,1469,1524,2
8.36,0.645,107.83,1492,1524,2
8.46,0.659,107.98,1518,1527,2
8.56,0.672,108.11,1531,1530,2
8.67,0.686,108.24,1533,1532,2
8.75,0.695,108.34,1532,1536,2
8.86,0.710,108.48,1532,1533,2
8.97,0.723,108.62,1533,1539,2
9.14,0.745,108.84,1532,1542,2
9.17,0.749,108.88,1533,1526,2
9.25,0.759,108.98,1532,1551,2
9.35,0.772,109.12,1533,1548,2
9.45,0.785,109.25,1533,1551,2
9.56,0.798,109.38,1532,1554,2
9.66,0.812,109.52,1533,1556,2
9.76,0.824,109.64,1533,1561,2
9.96,0.849,109.89,1533,1561,2
10.00,0.855,109.95,1533,1546,2
10.14,0.871,110.12,1533,1570,2
10.16,0.874,110.15,1533,1562,2
10.26,0.887,110.27,1533,1575,2
10.36,0.901,110.42,1533,1576,2
10.47,0.914,110.55,1533,1580,2
10.57,0.927,110.68,1532,1582,2
10.65,0.938,110.79,1531,1584,2
10.76,0.950,110.91,1546,1583,2
10.86,0.963,111.04,1577,1585,2
10.98,0.977,111.19,1573,1588,2
11.16,1.000,111.42,1572,1592,2
11.16,1.001,111.43,1573,1577,2
11.26,1.014,111.56,1573,1600,2
11.37,1.028,111.69,1573,1601,2
11.47,1.041,111.82,1573,1605,2
11.55,1.051,111.93,1573,1607,2
11.66,1.064,112.06,1573,1605,2
11.76,1.076,112.19,1573,1608,2
11.94,1.091,112.33,1573,1610,2
12.02,1.109,112.52,1573,1616,2
12.19,1.129,112.72,1573,1600,2
12.19,1.130,112.73,1573,1614,2
12.25,1.138,112.81,1573,1600,2
12.36,1.151,112.94,1574,1631,2
12.46,1.164,113.07,1600,1631,2
12.57,1.177,113.20,1628,1633,2
12.67,1.189,113.32,1639,1634,2
12.77,1.201,113.44,1641,1635,2
12.86,1.212,113.56,1641,1636,2
12.97,1.226,113.70,1641,1636,2
13.18,1.251,113.94,1641,1641,2
13.18,1.251,113.95,1641,1626,2
13.26,1.260,114.04,1642,1650,2
13.36,1.273,114.18,1641,1646,2
13.47,1.286,114.30,1641,1650,2
