# MISSION PROFILE DATA
# Timestamp: 2026-06-25 15:43:19
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=200.00, I=0.00, D=250.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,1942,1925,2
0.16,0.001,101.33,1939,200,2
0.19,-0.000,101.32,1896,272,2
0.34,-0.001,101.32,1843,557,2
0.48,0.000,101.33,1789,756,2
0.48,-0.001,101.32,1736,894,2
0.58,0.000,101.33,1681,992,2
0.69,-0.000,101.32,1627,1061,2
0.79,0.001,101.33,1572,1109,2
0.89,0.001,101.34,1526,1143,2
1.00,0.001,101.34,1478,1166,2
1.15,0.004,101.37,1435,1182,2
1.20,0.004,101.36,1394,1194,2
1.36,0.007,101.40,1358,1204,2
1.38,0.007,101.39,1325,1209,2
1.48,0.010,101.42,1296,1215,2
1.59,0.010,101.43,1270,1219,2
1.69,0.015,101.47,1243,1220,2
1.79,0.018,101.51,1221,1224,2
1.90,0.022,101.55,1209,1226,2
1.98,0.025,101.57,1205,1229,2
2.13,0.032,101.64,1205,1230,2
2.31,0.040,101.73,1206,1234,2
2.31,0.040,101.73,1205,1232,2
2.40,0.044,101.77,1205,1237,2
2.48,0.048,101.81,1205,1238,2
2.58,0.055,101.88,1204,1239,2
2.69,0.062,101.95,1205,1242,2
2.79,0.068,102.01,1205,1244,2
2.89,0.076,102.09,1205,1246,2
3.00,0.083,102.16,1206,1249,2
3.14,0.094,102.27,1205,1251,2
3.34,0.110,102.44,1205,1256,2
3.34,0.110,102.43,1206,1252,2
3.40,0.115,102.49,1226,1261,2
3.48,0.122,102.56,1244,1261,2
3.58,0.132,102.65,1268,1262,2
3.69,0.139,102.73,1275,1266,2
3.79,0.150,102.84,1275,1267,2
3.89,0.161,102.95,1276,1272,2
4.00,0.170,103.05,1275,1275,2
4.12,0.183,103.17,1276,1277,2
4.31,0.203,103.37,1275,1282,2
4.31,0.203,103.37,1276,1277,2
4.39,0.211,103.46,1275,1289,2
4.49,0.223,103.58,1275,1289,2
4.60,0.237,103.71,1275,1293,2
4.68,0.245,103.80,1276,1298,2
4.78,0.256,103.91,1275,1298,2
4.89,0.268,104.03,1275,1301,2
4.99,0.280,104.15,1276,1305,2
5.14,0.299,104.34,1275,1308,2
5.35,0.307,104.42,1276,1303,2
5.35,0.325,104.60,1276,1319,2
5.39,0.330,104.65,1276,1312,2
5.49,0.343,104.79,1275,1324,2
5.60,0.356,104.92,1275,1327,2
5.68,0.367,105.02,1291,1330,2
5.78,0.380,105.16,1313,1332,2
5.88,0.394,105.30,1318,1335,2
5.99,0.407,105.43,1318,1339,2
6.14,0.427,105.63,1319,1343,2
6.31,0.452,105.89,1318,1351,2
6.31,0.452,105.89,1318,1344,2
6.40,0.463,106.00,1318,1357,2
6.48,0.474,106.11,1318,1358,2
6.58,0.489,106.26,1317,1359,2
6.68,0.503,106.40,1318,1364,2
6.79,0.518,106.55,1318,1368,2
6.89,0.533,106.71,1317,1372,2
7.00,0.548,106.85,1332,1376,2
7.16,0.570,107.07,1351,1380,2
7.22,0.579,107.17,1373,1373,2
7.37,0.601,107.39,1391,1391,2
7.39,0.604,107.42,1395,1383,2
7.49,0.619,107.57,1395,1396,2
7.60,0.634,107.73,1395,1399,2
7.68,0.647,107.85,1394,1403,2
7.78,0.661,108.00,1394,1405,2
7.89,0.677,108.15,1395,1408,2
7.99,0.691,108.29,1394,1413,2
8.14,0.713,108.52,1394,1416,2
8.20,0.722,108.61,1394,1425,2
8.33,0.742,108.81,1394,1424,2
8.40,0.750,108.89,1395,1431,2
8.50,0.766,109.06,1394,1429,2
8.58,0.778,109.17,1394,1435,2
8.68,0.794,109.33,1394,1436,2
8.79,0.809,109.48,1394,1441,2
8.89,0.823,109.63,1395,1446,2
9.00,0.839,109.79,1413,1449,2
9.14,0.860,110.00,1430,1454,2
9.33,0.868,110.09,1440,1462,2
9.33,0.889,110.30,1463,1460,2
9.40,0.899,110.39,1472,1468,2
9.50,0.914,110.55,1475,1468,2
9.58,0.925,110.66,1475,1472,2
9.69,0.941,110.82,1474,1473,2
9.79,0.956,110.97,1475,1478,2
9.89,0.971,111.12,1475,1482,2
10.00,0.986,111.28,1474,1486,2
10.13,1.005,111.47,1475,1490,2
10.33,1.035,111.77,1475,1497,2
10.33,1.035,111.77,1475,1489,2
10.39,1.043,111.85,1475,1506,2
10.50,1.058,112.00,1475,1503,2
10.60,1.074,112.16,1475,1508,2
10.68,1.085,112.27,1475,1512,2
10.78,1.100,112.42,1475,1513,2
10.89,1.114,112.57,1475,1518,2
10.99,1.131,112.73,1475,1521,2
11.13,1.149,112.92,1473,1527,2
11.18,1.158,113.01,1494,1533,2
11.32,1.177,113.20,1518,1532,2
11.39,1.186,113.30,1533,1539,2
11.49,1.201,113.45,1534,1538,2
11.59,1.216,113.59,1535,1543,2
11.70,1.231,113.75,1534,1547,2
11.80,1.245,113.89,1535,1551,2
11.88,1.257,114.01,1535,1554,2
11.99,1.272,114.16,1534,1556,2
12.19,1.298,114.43,1535,1560,2
12.20,1.301,114.45,1534,1554,2
12.36,1.323,114.67,1535,1570,2
12.40,1.329,114.73,1535,1563,2
12.48,1.340,114.85,1535,1578,2
12.59,1.354,114.99,1534,1578,2
12.69,1.369,115.13,1534,1581,2
12.79,1.383,115.28,1532,1586,2
