# MISSION PROFILE DATA
# Timestamp: 2026-05-02 14:19:24
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=400.00, I=150.00, D=200.00
# Neutral ADC: 1400
# Bounds: 0 to 4095
# Depth Offset: -0.010 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.060,1894,1400
1.00,0.180,1595,1300
2.00,0.190,1389,1300
3.00,0.240,1311,1300
4.00,0.320,1311,1300
5.01,0.410,1311,1300
6.01,0.510,1311,1300
7.02,0.630,1311,1300
8.03,0.760,1311,1300
9.04,0.910,1310,1300
10.05,1.060,1310,1300
11.06,1.220,1310,1300
12.07,1.400,1310,1300
13.07,1.600,1310,1300
14.08,1.800,1308,1300
15.09,2.010,1287,1300
16.10,2.230,1287,1300
17.10,2.460,1297,1346
18.11,2.690,1360,1451
19.11,2.940,1431,1600
20.11,3.190,1510,1787
21.11,3.440,1638,2014
22.11,3.640,1806,2188
23.11,3.640,1970,2380
24.12,3.640,2179,2546
25.12,3.640,2398,2720
26.12,3.640,2588,2890
27.13,3.640,2730,3060
28.13,3.640,2878,3233
29.13,3.640,3039,3400
30.14,3.640,3198,3448
31.14,3.640,3311,3448
32.15,3.640,3372,3448
33.16,3.640,3376,3448
34.17,3.640,3382,3448
35.17,3.640,3383,3448
36.18,3.640,3380,3448
37.20,3.640,3343,3448
38.20,3.640,3358,3448
39.21,3.640,3364,3448
40.22,3.640,3364,3448
41.23,3.640,3341,3448
42.24,3.640,3340,3448
43.25,3.640,3341,3448
44.26,3.640,3341,3448
45.26,3.640,3341,3448
46.27,3.640,3341,3448
47.28,3.640,3341,3448
48.29,3.640,3341,3448
49.30,3.640,3340,3448
50.30,3.640,3341,3448
51.31,3.640,3341,3448
52.32,3.640,3341,3448
53.33,3.640,3341,3448
54.34,3.640,3341,3448
55.35,3.640,3340,3448
56.36,3.640,3341,3448
57.37,3.640,3340,3448
58.38,3.640,3340,3448
59.38,3.640,3340,3448
60.39,3.640,3341,3448
61.40,3.640,3341,3448
62.41,3.640,3341,3448
63.42,3.640,3455,3448
64.43,3.640,3653,3448
65.44,3.640,3794,3448
66.46,3.640,3884,3448
67.47,3.650,3970,3448
68.48,3.640,3979,3448
69.50,3.640,3982,3448
70.51,3.640,3982,3448
71.52,3.640,3983,3448
72.54,3.640,3983,3448
73.55,3.650,3936,3448
74.56,3.650,3942,3448
75.57,3.640,3974,3448
76.59,3.640,3975,3448
77.60,3.640,3981,3448
78.61,3.640,3927,3448
79.62,3.640,3964,3448
80.64,3.650,3964,3448
81.65,3.400,3982,3448
82.66,2.730,3983,3448
83.67,1.740,3982,3448
84.69,0.970,3983,3448
85.70,0.250,3984,3448
