# MISSION PROFILE DATA
# Timestamp: 2026-06-25 14:28:55
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=1.00, I=0.00, D=0.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3906,200,2
0.06,-0.000,101.32,3883,200,2
0.14,0.000,101.33,3824,200,2
0.25,0.000,101.33,3768,200,2
0.35,0.000,101.33,3710,200,2
0.45,-0.001,101.32,3653,200,2
0.68,0.000,101.33,3597,200,2
0.84,-0.000,101.32,3551,200,2
0.84,-0.000,101.32,3498,200,2
0.86,-0.001,101.32,3443,200,2
0.96,-0.000,101.32,3390,200,2
1.04,0.000,101.33,3334,200,2
1.15,-0.000,101.32,3279,200,2
1.25,-0.000,101.32,3222,200,2
1.35,-0.000,101.32,3165,200,2
1.46,-0.001,101.32,3107,200,2
1.64,0.000,101.33,3051,200,2
1.65,0.000,101.33,2996,200,2
1.78,0.000,101.33,2943,200,2
1.86,-0.001,101.32,2894,200,2
1.96,-0.000,101.32,2847,200,2
2.05,0.000,101.33,2799,200,2
2.15,-0.000,101.32,2748,200,2
2.25,0.000,101.33,2694,200,2
2.36,0.000,101.33,2639,200,2
2.46,-0.000,101.32,2581,200,2
2.65,-0.000,101.32,2535,200,2
2.76,0.000,101.33,2481,200,2
2.76,-0.000,101.32,2427,200,2
2.85,-0.001,101.32,2372,200,2
2.95,0.000,101.33,2318,200,2
3.05,-0.001,101.32,2263,200,2
3.15,0.000,101.33,2206,200,2
3.26,-0.001,101.32,2149,200,2
3.36,-0.000,101.32,2094,200,2
3.46,0.001,101.34,2036,200,2
3.65,-0.001,101.32,1980,200,2
3.76,-0.000,101.32,1923,200,2
3.76,-0.001,101.32,1868,200,2
3.86,-0.001,101.32,1813,200,2
3.97,0.000,101.33,1760,200,2
4.05,0.000,101.33,1705,200,2
4.15,0.001,101.34,1645,200,2
4.26,0.001,101.33,1594,200,2
4.36,0.001,101.34,1541,200,2
4.46,0.002,101.35,1489,200,2
4.70,0.005,101.38,1436,200,2
4.83,0.006,101.39,1382,200,2
4.83,0.007,101.40,1331,200,2
4.85,0.007,101.39,1280,200,2
4.95,0.008,101.41,1227,200,2
5.05,0.011,101.44,1173,200,2
5.15,0.014,101.47,1118,200,2
5.26,0.017,101.50,1062,200,2
5.36,0.022,101.54,1006,200,2
5.47,0.026,101.59,950,200,2
5.58,0.031,101.64,894,200,2
5.79,0.044,101.76,837,200,2
5.79,0.044,101.77,781,200,2
5.85,0.047,101.80,727,200,2
5.95,0.054,101.87,669,200,2
6.06,0.063,101.96,614,200,2
6.16,0.070,102.04,556,200,2
6.26,0.081,102.14,504,200,2
6.37,0.090,102.23,448,200,2
6.45,0.100,102.33,389,200,2
6.63,0.119,102.53,331,200,2
6.80,0.140,102.74,275,200,2
6.80,0.140,102.74,219,200,2
6.86,0.148,102.82,171,200,2
6.96,0.164,102.98,139,200,2
7.06,0.178,103.12,139,200,2
7.17,0.195,103.30,161,200,2
7.25,0.209,103.43,182,200,2
7.35,0.226,103.61,182,200,2
7.46,0.245,103.80,182,200,2
7.68,0.286,104.22,181,200,2
7.81,0.311,104.46,182,200,2
7.81,0.312,104.47,182,200,2
7.85,0.321,104.56,182,200,2
7.95,0.342,104.77,181,200,2
8.06,0.362,104.98,182,200,2
8.16,0.385,105.21,182,200,2
8.26,0.407,105.44,182,200,2
8.37,0.430,105.67,182,200,2
8.45,0.449,105.86,181,200,2
8.61,0.488,106.25,182,200,2
8.81,0.534,106.72,182,200,2
8.81,0.535,106.73,182,200,2
8.85,0.545,106.82,182,200,2
8.96,0.570,107.08,182,200,2
9.06,0.596,107.34,182,200,2
9.17,0.621,107.59,182,200,2
9.27,0.648,107.86,182,200,2
9.35,0.669,108.07,182,200,2
9.45,0.696,108.35,181,200,2
9.64,0.740,108.79,181,200,2
9.77,0.779,109.19,182,200,2
9.78,0.780,109.20,182,200,2
9.86,0.802,109.42,181,200,2
9.96,0.830,109.70,181,200,2
10.06,0.858,109.98,182,200,2
10.17,0.886,110.27,183,200,2
10.25,0.909,110.49,182,200,2
10.35,0.936,110.77,181,200,2
10.46,0.965,111.06,182,200,2
10.59,1.003,111.44,182,200,2
10.76,1.050,111.92,182,200,2
10.76,1.050,111.92,182,200,2
10.87,1.078,112.21,182,200,2
10.97,1.107,112.50,181,200,2
11.05,1.132,112.75,182,200,2
11.16,1.161,113.04,182,200,2
11.26,1.191,113.34,182,200,2
11.36,1.219,113.63,182,200,2
11.47,1.250,113.93,182,200,2
11.60,1.284,114.28,182,200,2
11.77,1.336,114.81,182,200,2
