# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:35:12
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=400.00, I=50.00, D=400.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.140 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.000,1763,1750
1.00,0.090,1439,858
2.00,0.270,1152,919
3.00,0.310,945,880
4.00,0.330,894,895
5.01,0.370,895,916
6.01,0.410,894,936
7.01,0.460,926,952
8.02,0.510,937,979
9.02,0.570,967,999
10.02,0.630,996,1025
11.02,0.690,1018,1052
12.03,0.760,1053,1083
13.03,0.830,1062,1114
14.03,0.910,1119,1145
15.03,0.990,1150,1180
16.04,1.080,1169,1217
17.04,1.170,1212,1255
18.04,1.260,1251,1294
19.04,1.360,1298,1336
20.04,1.460,1351,1376
21.05,1.560,1377,1417
22.05,1.670,1411,1461
23.05,1.780,1472,1506
24.06,1.890,1505,1551
25.06,2.000,1562,1593
26.06,2.120,1599,1620
27.07,2.230,1598,1653
28.07,2.350,1642,1691
29.07,2.480,1694,1736
30.07,2.610,1739,1792
31.07,2.740,1783,1853
32.08,2.870,1825,1922
33.08,3.000,1874,1998
34.08,3.130,1926,2080
35.08,3.270,1995,2172
36.08,3.410,2083,2266
37.08,3.540,2176,2370
38.08,3.670,2257,2485
39.08,3.630,2299,2458
40.08,3.620,2349,2514
41.09,3.620,2416,2571
42.09,3.620,2484,2626
43.09,3.620,2553,2685
44.09,3.620,2604,2742
45.09,3.620,2635,2799
46.09,3.630,2698,2856
47.09,3.620,2765,2909
48.09,3.620,2830,2963
49.10,3.610,2893,3010
50.10,3.590,2949,3054
51.10,3.560,2975,3092
52.10,3.520,2976,3128
53.10,3.480,3026,3155
54.11,3.430,3086,3181
55.11,3.370,3131,3194
56.11,3.300,3183,3207
57.11,3.220,3173,3209
58.12,3.130,3175,3204
59.12,3.040,3161,3192
60.13,2.940,3151,3175
61.13,2.830,3151,3153
62.14,2.720,3151,3118
63.14,2.610,3112,3081
64.15,2.490,3072,3031
65.15,2.370,3015,2982
66.16,2.250,2972,2923
67.16,2.140,2899,2865
68.16,2.020,2834,2798
69.16,1.910,2467,1471
70.16,1.810,1986,1435
71.16,1.730,1625,1418
72.17,1.680,1412,1407
73.17,1.660,1412,1414
74.17,1.670,1412,1429
75.18,1.710,1412,1457
76.18,1.780,1458,1493
77.18,1.870,1501,1537
78.18,1.980,1541,1591
79.19,2.110,1579,1634
80.19,2.260,1621,1681
81.19,2.420,1675,1745
82.19,2.600,1737,1822
83.20,2.780,1799,1908
84.20,2.980,1867,2005
85.20,3.180,1929,2118
86.20,3.380,2010,2243
87.20,3.590,2119,2373
88.21,3.630,2189,2349
89.21,3.610,2226,2413
90.21,3.620,2232,2482
91.21,3.650,2300,2559
92.21,3.670,2367,2608
93.21,3.680,2447,2673
94.21,3.680,2534,2727
95.21,3.680,2601,2789
96.21,3.680,2669,2846
97.21,3.680,2720,2908
98.21,3.680,2779,2967
99.22,3.680,2852,3027
100.22,3.680,2922,3087
101.22,3.680,2986,3145
102.22,3.680,3041,3203
103.22,3.680,3104,3264
104.23,3.680,3173,3323
105.23,3.680,3257,3381
106.23,3.680,3324,3435
107.23,3.670,3382,3488
108.23,3.650,3428,3537
109.24,3.630,3474,3581
110.24,3.600,3521,3621
111.24,3.560,3581,3654
112.24,3.510,3634,3682
113.25,3.440,3661,3701
114.25,3.370,3664,3715
115.25,3.290,3663,3720
116.26,3.200,3664,3719
117.26,3.100,3663,3708
118.26,3.000,3662,3690
119.27,2.890,3648,3670
120.28,2.780,3648,3636
121.28,2.660,3648,3597
122.28,2.530,3573,3549
123.29,2.410,3530,3497
124.29,2.280,3467,3439
125.29,2.150,3402,3370
126.30,2.020,3337,3299
127.30,1.900,2938,1460
128.29,1.780,2502,1420
129.30,1.690,2050,1396
130.30,1.630,1640,1384
131.31,1.600,1391,1391
132.31,1.620,1391,1412
133.32,1.680,1391,1450
134.32,1.770,1446,1500
135.32,1.890,1499,1561
136.32,2.040,1537,1623
137.32,2.210,1586,1682
138.32,2.400,1645,1756
139.32,2.610,1714,1845
140.33,2.830,1800,1947
141.33,3.060,1872,2068
142.33,3.310,1956,2205
143.33,3.550,2060,2355
144.34,3.660,2173,2341
145.34,3.670,2237,2425
146.34,3.690,2285,2483
147.34,3.690,2330,2545
148.35,3.690,2390,2603
149.35,3.690,2472,2663
150.35,3.690,2555,2724
151.36,3.690,2618,2783
152.36,3.690,2669,2843
153.36,3.690,2720,2901
154.36,3.690,2788,2961
155.36,3.690,2862,3021
156.36,3.690,2935,3079
157.37,3.690,3000,3140
158.37,3.690,3056,3196
159.37,3.690,3113,3259
160.37,3.690,3188,3320
161.38,3.690,3266,3377
162.38,3.690,3336,3439
163.38,3.690,3390,3496
164.38,3.690,3441,3555
165.38,3.690,3496,3616
166.39,3.690,3710,4095
167.40,3.680,3879,4095
168.41,3.660,3980,4095
169.42,3.620,3979,4095
170.43,3.580,3980,4095
171.44,3.520,3980,4095
172.45,3.450,3980,4095
173.46,3.370,3934,4095
174.47,3.290,3934,4095
175.48,3.190,3973,4095
176.49,3.090,3975,4095
177.50,2.990,3937,4095
178.50,2.870,3937,4095
179.51,2.750,3937,4095
180.53,2.630,3937,4095
181.53,2.500,3937,4095
182.54,2.230,3938,4095
183.55,1.640,3937,4095
184.56,1.070,3937,4095
185.57,0.390,3937,4095
186.57,0.160,3937,4095
187.58,0.050,3937,4095
