# MISSION PROFILE DATA
# Timestamp: 2026-05-02 13:48:41
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=400.00, I=150.00, D=200.00
# Neutral ADC: 1400
# Bounds: 0 to 4095
# Depth Offset: -0.115 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.300,1402,0
1.00,0.280,1068,0
2.00,0.300,765,0
3.00,0.330,569,0
4.00,0.380,555,0
5.01,0.440,556,0
6.01,0.500,565,0
7.01,0.570,618,0
8.02,0.650,628,0
9.02,0.730,688,0
10.03,0.830,705,0
11.03,0.940,768,0
12.03,1.050,804,0
13.03,1.180,847,0
14.04,1.310,932,0
15.04,1.450,964,0
16.04,1.600,1035,0
17.04,1.750,1098,0
18.05,1.920,1173,0
19.05,2.100,1217,0
20.05,2.280,1217,0
21.06,2.480,1279,0
22.06,2.680,1360,0
23.06,2.900,1482,0
24.06,3.130,1554,0
25.06,3.370,1648,0
26.06,3.610,1798,0
27.07,3.730,1957,0
28.07,3.750,2142,0
29.07,3.750,2313,0
30.07,3.750,2491,0
31.07,3.750,2665,0
32.07,3.750,2845,0
33.08,3.750,3023,0
34.08,3.750,3164,0
35.09,3.750,3285,0
36.10,3.750,3346,0
37.11,3.750,3358,0
38.12,3.750,3359,0
39.13,3.750,3353,0
40.14,3.740,3353,0
41.15,3.740,3354,0
42.16,3.730,3355,0
43.17,3.730,3355,0
44.18,3.730,3356,0
45.19,3.720,3353,0
46.20,3.720,3353,0
47.20,3.720,3353,0
48.21,3.730,3353,0
49.22,3.730,3353,0
50.23,3.740,3353,0
51.24,3.750,3353,0
52.25,3.750,3353,0
53.26,3.750,3353,0
54.27,3.750,3353,0
55.27,3.750,3352,0
56.28,3.750,3353,0
57.29,3.750,3353,0
58.30,3.750,3352,0
59.31,3.750,3351,0
60.32,3.750,3353,0
61.33,3.750,3352,0
62.34,3.750,3353,0
63.34,3.750,3353,0
64.35,3.750,3352,0
65.36,3.750,3352,0
66.37,3.750,3352,0
67.38,3.750,3353,0
68.39,3.750,3352,0
69.40,3.750,3353,0
70.41,3.750,3353,0
71.42,3.750,3353,0
72.42,3.750,3352,0
73.43,3.750,3353,0
74.44,3.750,3353,0
75.45,3.750,3353,0
76.46,3.750,3353,0
77.47,3.750,3352,0
78.48,3.750,3353,0
79.49,3.750,3352,0
80.50,3.750,3353,0
81.51,3.750,3353,0
82.51,3.750,3353,0
83.52,3.750,3352,0
84.53,3.750,3353,0
85.54,3.750,3352,0
86.55,3.750,3352,0
87.56,3.750,3353,0
88.57,3.750,3353,0
89.58,3.750,3353,0
90.58,3.750,3352,0
91.59,3.750,3353,0
92.60,3.750,3353,0
93.61,3.750,3353,0
94.62,3.750,3353,0
95.63,3.750,3353,0
96.64,3.750,3352,0
97.65,3.750,3353,0
98.66,3.750,3352,0
99.67,3.750,3352,0
100.68,3.750,3353,0
101.69,3.750,3353,0
102.69,3.750,3352,0
103.70,3.750,3353,0
104.71,3.750,3352,0
105.72,3.750,3353,0
106.73,3.750,3352,0
107.74,3.750,3352,0
108.75,3.750,3353,0
109.76,3.750,3352,0
110.77,3.750,3353,0
111.78,3.750,3363,0
112.79,3.750,3527,0
113.80,3.750,3680,0
114.81,3.750,3785,0
115.82,3.750,3850,0
116.83,3.750,3896,0
117.84,3.750,3909,0
118.84,3.750,3947,0
119.86,3.750,3979,0
120.86,3.750,3982,0
121.88,3.750,3983,0
122.89,3.750,3983,0
123.90,3.750,3984,0
124.91,3.750,3984,0
125.92,3.750,3984,0
126.93,3.750,3985,0
127.94,3.750,3985,0
128.95,3.750,3984,0
129.96,3.750,3985,0
130.97,3.750,3985,0
131.98,3.750,3985,0
132.99,3.750,3986,0
134.00,3.750,3985,0
135.01,3.760,3985,0
136.01,3.750,3985,0
137.02,3.750,3985,0
138.03,3.750,3985,0
139.04,3.750,3985,0
140.05,3.750,3985,0
141.06,3.750,3986,0
142.07,3.750,3987,0
143.08,3.750,3985,0
144.09,3.750,3986,0
145.10,3.750,3985,0
146.11,3.750,3985,0
147.12,3.750,3986,0
148.13,3.750,3984,0
149.14,3.750,3985,0
150.15,3.750,3986,0
151.15,3.750,3985,0
152.16,3.750,3984,0
153.17,3.750,3986,0
154.18,3.750,3986,0
155.19,3.750,3985,0
156.20,3.750,3986,0
157.21,3.750,3986,0
158.22,3.720,3985,0
159.23,3.280,3986,0
160.24,2.770,3985,0
161.25,2.000,3985,0
162.26,1.410,3986,0
163.27,0.860,3985,0
164.28,0.290,3985,0
165.28,0.160,3986,0
166.29,0.030,3987,0
