# MISSION PROFILE DATA
# Timestamp: 2026-06-19 14:38:05
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.15 m
# Hold Duration: 30 s
# PID: P=100.00, I=0.50, D=40.00
# Neutral ADC: 1600
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3883,1050,2
0.00,-0.000,101.32,3873,1140,2
0.08,0.001,101.33,3822,1203,2
0.19,-0.000,101.32,3769,1247,2
0.27,-0.000,101.32,3714,1277,2
0.37,-0.001,101.32,3657,1299,2
0.49,-0.001,101.32,3603,1314,2
0.65,-0.000,101.32,3562,1325,2
0.69,-0.000,101.32,3510,1332,2
0.77,-0.000,101.32,3458,1337,2
0.87,0.001,101.33,3407,1341,2
0.98,-0.000,101.32,3358,1344,2
1.08,-0.000,101.32,3305,1345,2
1.18,-0.000,101.32,3253,1347,2
1.28,0.001,101.33,3201,1347,2
1.37,-0.000,101.32,3149,1348,2
1.50,-0.001,101.32,3098,1348,2
1.64,-0.001,101.32,3047,1349,2
1.69,-0.000,101.32,2995,1349,2
1.77,-0.000,101.32,2944,1349,2
1.87,0.000,101.33,2902,1349,2
1.97,0.001,101.33,2854,1349,2
2.08,-0.000,101.32,2810,1350,2
2.18,-0.000,101.32,2762,1349,2
2.28,0.001,101.34,2712,1349,2
2.39,0.000,101.33,2660,1350,2
2.52,-0.001,101.32,2606,1349,2
2.67,0.001,101.33,2557,1349,2
2.67,0.000,101.33,2509,1349,2
2.78,0.000,101.33,2456,1350,2
2.88,-0.000,101.32,2403,1350,2
2.98,-0.000,101.32,2350,1350,2
3.09,0.000,101.33,2298,1350,2
3.17,0.001,101.33,2244,1350,2
3.27,-0.001,101.31,2189,1350,2
3.38,-0.001,101.32,2134,1349,2
3.49,-0.001,101.32,2079,1349,2
3.66,-0.001,101.32,2019,1349,2
3.68,0.000,101.33,1967,1349,2
3.79,-0.001,101.32,1912,1350,2
3.89,0.000,101.33,1858,1349,2
3.97,-0.000,101.32,1805,1350,2
4.07,0.000,101.33,1753,1350,2
4.18,-0.001,101.32,1699,1350,2
4.28,0.001,101.33,1648,1349,2
4.38,0.000,101.33,1595,1350,2
4.50,0.000,101.33,1546,1350,2
4.68,0.000,101.33,1502,1350,2
4.68,0.001,101.34,1453,1350,2
4.78,-0.000,101.32,1407,1350,2
4.88,0.001,101.33,1358,1349,2
4.99,0.002,101.35,1325,1350,2
5.09,0.001,101.34,1316,1350,2
5.17,0.003,101.35,1313,1350,2
5.28,0.003,101.36,1314,1350,2
5.38,0.005,101.38,1314,1350,2
5.51,0.006,101.39,1314,1350,2
5.68,0.009,101.41,1314,1350,2
5.68,0.009,101.42,1313,1350,2
5.78,0.011,101.44,1314,1351,2
5.89,0.013,101.45,1314,1351,2
5.99,0.015,101.47,1314,1351,2
6.07,0.018,101.50,1314,1352,2
6.17,0.019,101.52,1314,1352,2
6.28,0.023,101.55,1314,1352,2
6.38,0.026,101.59,1313,1353,2
6.50,0.029,101.61,1314,1353,2
6.68,0.035,101.68,1314,1353,2
6.68,0.036,101.69,1313,1353,2
6.78,0.039,101.72,1314,1354,2
6.89,0.042,101.74,1315,1355,2
6.99,0.046,101.79,1314,1355,2
7.07,0.049,101.82,1315,1355,2
7.18,0.054,101.87,1315,1356,2
7.28,0.059,101.92,1313,1356,2
7.38,0.062,101.95,1314,1357,2
7.51,0.068,102.01,1314,1357,2
7.70,0.077,102.11,1314,1358,2
