# MISSION PROFILE DATA
# Timestamp: 2026-06-25 15:47:30
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=30.00, I=0.00, D=350.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,1839,1838,2
0.00,0.000,101.33,1839,1838,2
0.13,-0.000,101.32,1831,200,2
0.28,0.000,101.33,1787,200,2
0.30,-0.000,101.32,1731,440,2
0.41,-0.000,101.32,1683,839,2
0.54,0.002,101.34,1650,1118,2
0.71,0.001,101.34,1624,1314,2
0.71,0.001,101.34,1614,1453,2
0.81,0.002,101.35,1604,1547,2
0.91,0.003,101.35,1610,1615,2
1.02,0.003,101.35,1609,1663,2
1.10,0.005,101.37,1632,1695,2
1.20,0.006,101.38,1663,1720,2
1.30,0.008,101.40,1694,1736,2
1.48,0.009,101.41,1714,1749,2
1.54,0.010,101.43,1736,1755,2
1.68,0.013,101.45,1756,1761,2
1.70,0.013,101.45,1765,1765,2
1.80,0.014,101.46,1765,1770,2
1.91,0.017,101.49,1765,1772,2
2.01,0.018,101.51,1765,1775,2
2.11,0.019,101.51,1765,1775,2
2.22,0.022,101.54,1765,1775,2
2.30,0.023,101.56,1765,1777,2
2.49,0.026,101.59,1765,1776,2
2.54,0.028,101.61,1764,1775,2
2.71,0.031,101.63,1765,1780,2
2.71,0.030,101.63,1765,1777,2
2.81,0.033,101.65,1765,1778,2
2.91,0.034,101.67,1765,1779,2
3.02,0.037,101.70,1765,1778,2
3.12,0.039,101.72,1765,1780,2
3.20,0.041,101.74,1764,1777,2
3.30,0.044,101.77,1765,1780,2
3.51,0.047,101.80,1765,1781,2
3.56,0.048,101.81,1765,1778,2
3.71,0.053,101.86,1765,1780,2
3.71,0.052,101.85,1765,1779,2
3.81,0.055,101.88,1765,1781,2
3.92,0.058,101.91,1765,1782,2
4.02,0.060,101.93,1765,1783,2
4.10,0.062,101.96,1765,1779,2
4.21,0.065,101.98,1765,1782,2
4.31,0.068,102.01,1765,1783,2
4.46,0.072,102.06,1766,1783,2
4.66,0.078,102.11,1765,1780,2
4.66,0.079,102.12,1766,1782,2
4.72,0.079,102.12,1765,1779,2
4.80,0.082,102.15,1765,1786,2
4.91,0.085,102.18,1765,1785,2
5.01,0.088,102.21,1765,1785,2
5.12,0.090,102.23,1765,1785,2
5.22,0.094,102.28,1765,1784,2
5.32,0.097,102.30,1765,1780,2
5.48,0.101,102.34,1765,1783,2
5.52,0.103,102.37,1765,1784,2
5.66,0.107,102.41,1765,1785,2
5.72,0.109,102.42,1766,1784,2
5.81,0.112,102.46,1765,1786,2
5.91,0.115,102.49,1765,1788,2
6.01,0.118,102.52,1765,1787,2
6.12,0.122,102.56,1765,1787,2
6.22,0.127,102.60,1765,1788,2
6.30,0.129,102.63,1765,1784,2
6.47,0.134,102.68,1765,1789,2
6.51,0.136,102.70,1765,1785,2
6.66,0.141,102.75,1765,1790,2
6.70,0.142,102.75,1765,1785,2
6.81,0.146,102.80,1765,1789,2
6.91,0.150,102.84,1765,1790,2
7.01,0.154,102.88,1765,1790,2
7.12,0.158,102.91,1765,1790,2
7.22,0.162,102.96,1766,1790,2
7.30,0.165,102.99,1765,1786,2
7.49,0.171,103.05,1765,1791,2
7.53,0.173,103.07,1765,1786,2
