# MISSION PROFILE DATA
# Timestamp: 2026-05-02 14:58:46
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=1200.00, I=150.00, D=600.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.122 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.310,3973,1750
1.00,0.290,3570,1650
2.00,0.300,3134,1650
3.00,0.300,2728,1650
4.00,0.300,2324,1650
5.01,0.300,1903,1650
6.02,0.310,1645,1650
7.03,0.320,1645,1650
8.04,0.330,1645,1650
9.05,0.350,1645,1650
10.06,0.360,1645,1650
11.06,0.360,1645,1650
12.07,0.370,1646,1650
13.08,0.360,1645,1650
14.09,0.360,1645,1650
15.10,0.350,1645,1650
16.11,0.340,1645,1650
17.11,0.330,1645,1650
18.12,0.320,1645,1650
19.14,0.320,1645,1650
20.14,0.320,1645,1650
21.15,0.330,1645,1650
22.16,0.330,1645,1650
23.16,0.340,1645,1650
24.18,0.350,1645,1650
25.18,0.360,1645,1650
26.19,0.360,1645,1650
27.20,0.360,1645,1650
28.21,0.360,1645,1650
29.22,0.360,1645,1650
30.23,0.360,1645,1650
31.24,0.350,1645,1650
32.24,0.350,1645,1650
33.25,0.340,1645,1650
34.26,0.340,1645,1650
35.27,0.340,1645,1650
36.27,0.340,1645,1650
37.28,0.340,1645,1650
38.29,0.350,1645,1650
39.30,0.350,1645,1650
40.31,0.350,1645,1650
41.32,0.360,1645,1650
42.33,0.360,1645,1650
43.33,0.360,1645,1650
44.34,0.360,1645,1650
45.35,0.360,1719,2824
46.36,0.360,2100,2946
47.37,0.340,2491,3041
48.38,0.310,2848,3115
49.40,0.300,3206,3266
50.41,0.300,3589,3362
51.42,0.300,3934,3490
52.43,0.290,3983,3606
53.45,0.290,3981,3719
54.46,0.300,3983,3798
55.47,0.300,3982,3798
56.48,0.300,3983,3798
57.49,0.290,3981,3798
58.50,0.260,3983,3798
59.51,0.220,3984,3798
60.53,0.050,3984,3798
