# MISSION PROFILE DATA
# Timestamp: 2026-06-26 14:06:12
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Deep Tolerance: -- m
# Shallow Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.050,101.79,3868,1835
1.00,0.050,101.79,3402,1788
2.00,0.050,101.80,2908,1791
3.00,0.050,101.79,2447,1790
4.00,0.050,101.79,1976,1783
5.00,0.050,101.79,1786,1781
6.00,0.050,101.80,1786,1791
7.00,0.050,101.79,1786,1793
8.00,0.050,101.79,1786,1786
9.00,0.050,101.79,1786,1788
10.00,0.050,101.79,1786,1788
11.00,0.050,101.79,1786,1793
12.00,0.050,101.79,1785,1786
13.00,0.050,101.79,1785,1789
14.00,2.620,127.73,1895,3900
15.00,0.050,101.79,1897,1789
0.00,0.050,101.79,3868,1835
1.00,0.050,101.79,3402,1788
2.00,0.050,101.80,2908,1791
3.00,0.050,101.79,2447,1790
4.00,0.050,101.79,1976,1783
5.00,0.050,101.79,1786,1781
6.00,0.050,101.80,1786,1791
7.00,0.050,101.79,1786,1793
8.00,0.050,101.79,1786,1786
9.00,0.050,101.79,1786,1788
10.00,0.050,101.79,1786,1788
11.00,0.050,101.79,1786,1793
12.00,0.050,101.79,1785,1786
13.00,0.050,101.79,1785,1789
14.00,2.620,127.73,1895,3900
15.00,0.050,101.79,1897,1789
